Country,Downloads
United States,292
Canada,66
Ethiopia,36
Thailand,18
France,14
United Kingdom,13
Germany,9
India,9
Netherlands,8
Japan,7
Brazil,6
Malaysia,6
China,5
Belgium,5
Nigeria,5
Indonesia,5
Ireland,4
"Korea, Republic Of",4
Mexico,4
Sweden,4
Singapore,4
Australia,3
Poland,3
Taiwan,3
Viet Nam,3
Denmark,2
Spain,2
Hong Kong,2
"Iran, Islamic Republic Of",2
Italy,2
Norway,2
Kenya,1
United Arab Emirates,1
Chile,1
Colombia,1
Egypt,1
Finland,1
Ghana,1
Greece,1
Guyana,1
Israel,1
Austria,1
Cayman Islands,1
Oman,1
Pakistan,1
Portugal,1
Romania,1
Saudi Arabia,1
Slovakia,1
"Tanzania, United Republic Of",1
Uruguay,1
South Africa,1
