Article,Downloads
The Promotion Process: Academic Entrepreneurship Career Tracks,22
FDA Drug Regulation: Investigational New Drug Applications,16
Digital Health: Software as a Medical Device,15
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,14
Building a Successful Startup Team,13
Clinical and Translational Science Awards,12
Strategic Planning and Costs of FDA Regulation,11
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,10
Resources at Academic Entrepreneurship Centers,9
Identifying Unmet Needs: Problems that Need Solutions,9
SBIR/STTR Grants: Introduction and Overview,9
Seeking Venture Capital Investment,9
What is Academic Entrepreneurship?,8
Overview of Drug Development,8
Careers in Academia and Industry: Transitions and Challenges,7
Development Strategies for Animal Medical Therapeutics,7
Department of Defense: SBIR/STTR Grants and Other Contracts,7
I-Corps as a Training Tool for New Technology Development,7
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,7
Writing Business Plans for a Life Science Startup or Clinical Program,6
Intellectual Property Protection for Biologics,6
Orphan Drugs: Understanding the FDA Approval Process,6
SBIR/STTR Grants: Application Guidance,6
Rapid Prototyping Strategies,5
Intellectual Property: Ownership and Protection in a University Setting,5
Pediatric Medical Device Development Pathways,5
Angel Investors,5
Social Entrepreneurship in Healthcare,4
"FDA Device Regulation: 510(k), PMA",4
Understanding Conflict of Interest for Academic Entrepreneurs,4
Negotiation Strategies,4
Accelerators and Incubators,4
Marketing in an Academic Institution,3
Working with the University Technology Transfer Office,3
Equity Allocation in Startups,3
Nonprofit and Foundation Sponsored Research: Developing New Models of Collaboration for Research and Development,3
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,3
Reimbursement Strategies and CPT Codes for Device Development,2
Development of Radiographic Contrast Agents for Diagnostic Imaging,2
Innate Biases,2
Startup Company Formation and Management,2
Draft - Forming and Maintaining Meaningful Partnerships: Academic Scientists and Corporations,1
Forming and Maintaining Meaningful Partnerships Between Academic Scientists and Corporations,1
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,1
Conducting Insightful Market Research,1
Overview of Device Development,1
