Article,Downloads
The Promotion Process: Academic Entrepreneurship Career Tracks,3
Rapid Prototyping Strategies,3
Working with the University Technology Transfer Office,3
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,3
Building a Successful Startup Team,3
Surgical Device Development,2
Marketing in an Academic Institution,2
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,2
What is Academic Entrepreneurship?,2
Negotiation Strategies,2
SBIR/STTR Grants: Introduction and Overview,2
SBIR/STTR Grants: Application Guidance,2
Overview of Drug Development,2
Startup Company Formation and Management,2
Digital Health: Software as a Medical Device,2
Intellectual Property Protection for Biologics,2
Careers in Academia and Industry: Transitions and Challenges,1
Forming and Maintaining Meaningful Partnerships Between Academic Scientists and Corporations,1
Identifying Unmet Needs: Problems that Need Solutions,1
Social Entrepreneurship in Healthcare,1
Handling Disruptive Innovation in Clinical and Research Settings,1
Accelerators and Incubators,1
Clinical and Translational Science Awards,1
Development Strategies for Animal Medical Therapeutics,1
Understanding Conflict of Interest for Academic Entrepreneurs,1
Intellectual Property: Ownership and Protection in a University Setting,1
Intellectual Property: Commercializing in a University Setting,1
FDA Drug Regulation: Investigational New Drug Applications,1
Pediatric Medical Device Development Pathways,1
Reimbursement Strategies and CPT Codes for Device Development,1
Writing Business Plans for a Life Science Startup or Clinical Program,1
Equity Allocation in Startups,1
Angel Investors,1
Seeking Venture Capital Investment,1
Development of Radiographic Contrast Agents for Diagnostic Imaging,1
Orphan Drugs: Understanding the FDA Approval Process,1
Department of Defense: SBIR/STTR Grants and Other Contracts,1
Nonprofit and Foundation Sponsored Research: Developing New Models of Collaboration for Research and Development,1
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,1
Conducting Insightful Market Research,1
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,1
I-Corps as a Training Tool for New Technology Development,1
Overview of Device Development,1
Strategic Planning and Costs of FDA Regulation,1
"FDA Device Regulation: 510(k), PMA",1
