Article,Downloads
Equity Allocation in Startups,1
What is Academic Entrepreneurship?,1
Careers in Academia and Industry: Transitions and Challenges,1
Resources at Academic Entrepreneurship Centers,1
Forming and Maintaining Meaningful Partnerships Between Academic Scientists and Corporations,1
Building a Successful Startup Team,1
Handling Disruptive Innovation in Clinical and Research Settings,1
Accelerators and Incubators,1
"FDA Device Regulation: 510(k), PMA",1
Development Strategies for Animal Medical Therapeutics,1
Understanding Conflict of Interest for Academic Entrepreneurs,1
Intellectual Property: Ownership and Protection in a University Setting,1
Intellectual Property: Commercializing in a University Setting,1
Working with the University Technology Transfer Office,1
FDA Drug Regulation: Investigational New Drug Applications,1
Pediatric Medical Device Development Pathways,1
Reimbursement Strategies and CPT Codes for Device Development,1
Writing Business Plans for a Life Science Startup or Clinical Program,1
The Promotion Process: Academic Entrepreneurship Career Tracks,1
SBIR/STTR Grants: Introduction and Overview,1
Angel Investors,1
Seeking Venture Capital Investment,1
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,1
Intellectual Property Protection for Biologics,1
Development of Radiographic Contrast Agents for Diagnostic Imaging,1
Orphan Drugs: Understanding the FDA Approval Process,1
Department of Defense: SBIR/STTR Grants and Other Contracts,1
Nonprofit and Foundation Sponsored Research: Developing New Models of Collaboration for Research and Development,1
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,1
Innate Biases,1
Negotiation Strategies,1
SBIR/STTR Grants: Application Guidance,1
Strategic Planning and Costs of FDA Regulation,1
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,1
Clinical and Translational Science Awards,1
Startup Company Formation and Management,1
