Name,Type,Downloads
W/Soddo University,Education,36
"The Children's Hospital of Philadelphia",Education,30
Penn Medicine,Education,22
University of Pennsylvania,Education,22
National Institutes of Health,Government,9
University of Michigan Medical Center,Education,8
The Hospital for Sick Children,Organization,5
The Scripps Research Institute,Education,4
European Patent Office,Government,4
Mayo Foundation for Medical Education and Research,Education,3
University of Rochester,Education,3
TransMedia Technologies (AP) Pvt Ltd,Commercial,3
New York University,Education,2
Yale University,Education,2
Taiwan Academic Network,Education,2
Washington University,Education,2
"King's College London",Education,2
Tufts University,Education,2
Hunter College,Education,2
Universite de Montpellier,Education,2
U.S. Small Business Administration,Education,2
Computer Center,Education,2
Temple University,Education,2
University of Florida/University Medical Center,Education,1
University of Texas at Austin,Education,1
Indiana University-Purdue University at Indianapolis,Education,1
University of Pittsburgh,Education,1
Columbia University,Education,1
The City of New York,Government,1
Texas A&M University,Education,1
Northwestern University,Education,1
Department of Education,Government,1
Massachusetts Institute of Technology,Education,1
Duke University,Education,1
Pacific University,Education,1
University of Illinois,Education,1
The George Washington University,Education,1
Ludwig-Maximilians-Universitaet Muenchen,Education,1
University of Southern California,Education,1
Harvard University,Education,1
Indian Institute of Technology Kharagpur India,Education,1
University of Cape Town,Education,1
University of Calgary,Education,1
University of Michigan,Education,1
North Carolina A&T State University,Education,1
U.S. Department of Transportation,Government,1
The Nemours Foundation,Organization,1
Countryhost,Commercial,1
Brock University,Education,1
University of Hawaii,Education,1
Starbucks Level,Commercial,1
University of Michigan Stephen M. Ross School of Business,Education,1
Universidad de Vigo,Education,1
Silesian University of Technology Computer Centre,Education,1
Mount Clemens General Hospital,Organization,1
Kyung Hee University,Education,1
WestTel Ltd.,Commercial,1
NTU,Education,1
University of Macedonia,Education,1
Hotel Okura Amsterdam BV,Commercial,1
Secundrabad Zone,Commercial,1
Technical University of Lodz Computer Centre,Education,1
Universite Lumiere,Education,1
Johns Hopkins University Applied Physics Laboratory,Education,1
Universidade Federal do Ceara,Education,1
Shanghai Textile College,Education,1
Obiane,Commercial,1
Omnova Solutions Inc,Commercial,1
Katholieke Hogeschool Mechelen,Commercial,1
Uninett AS,Education,1
Oesterreichisches Patentamt,Commercial,1
Bratislava,Commercial,1
Redes Y Comunicaciones de Michoacan S.A. de C.V.,Commercial,1
Specialized Bulletin Board Systems,Commercial,1
Neurelec,Commercial,1
Gimv NV,Commercial,1
Innokas Yhtyma Oy,Commercial,1
TecnoWind S.A.,Commercial,1
Hilton New Orleans Riverside,Commercial,1
VT,Commercial,1
Westinghouse Electric Company LLC,Commercial,1
Dolomite Technology,Commercial,1
Fundacao Universidade Federal do Abc - UFABC,Education,1
Villas on Rensch,Education,1
Awaser Oman LLC,Commercial,1
Quintex Alliance Consulting,Commercial,1
University of Aberdeen,Education,1
Kungliga Tekniska Hogskolan,Commercial,1
CIP Services AG,Commercial,1
Modular Metal Fabricators,Education,1
Moec,Government,1
Air Force Systems Networking,Military,1
Multikom S.A.,Commercial,1
Northern Manor,Commercial,1
University of California Irvine,Education,1
