Article,Downloads
The Promotion Process: Academic Entrepreneurship Career Tracks,3
Rapid Prototyping Strategies,2
Intellectual Property: Ownership and Protection in a University Setting,2
SBIR/STTR Grants: Introduction and Overview,2
Careers in Academia and Industry: Transitions and Challenges,1
Identifying Unmet Needs: Problems that Need Solutions,1
Social Entrepreneurship in Healthcare,1
Marketing in an Academic Institution,1
Accelerators and Incubators,1
Development Strategies for Animal Medical Therapeutics,1
Understanding Conflict of Interest for Academic Entrepreneurs,1
Working with the University Technology Transfer Office,1
Equity Allocation in Startups,1
Seeking Venture Capital Investment,1
I-Corps as a Training Tool for New Technology Development,1
Negotiation Strategies,1
Clinical and Translational Science Awards,1
