Article,Downloads
Writing Business Plans for a Life Science Startup or Clinical Program,5
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,5
Identifying Unmet Needs: Problems that Need Solutions,5
The Promotion Process: Academic Entrepreneurship Career Tracks,3
Social Entrepreneurship in Healthcare,2
Intellectual Property: Ownership and Protection in a University Setting,2
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,2
What is Academic Entrepreneurship?,1
Forming and Maintaining Meaningful Partnerships Between Academic Scientists and Corporations,1
Building a Successful Startup Team,1
Working with the University Technology Transfer Office,1
SBIR/STTR Grants: Introduction and Overview,1
Overview of Drug Development,1
