Referrer,Downloads
scholar.google.com/,110
repository.upenn.edu/do/search/,21
www.google.com/,20
repository.upenn.edu/ace/vol1/iss5/1/,16
repository.upenn.edu/ace/,12
repository.upenn.edu/ace/vol1/iss5/5/,10
repository.upenn.edu/ace/vol1/iss3/6/,9
https%3A%2F%2Fscholar.google.com%2Fscholar%3Fhl%3Den%26as_sdt%3D0%2C33%26q%3Dfood%26scisbd%3D1,9
repository.upenn.edu/ace/vol1/iss3/7/,8
repository.upenn.edu/ace/vol1/iss1/2/,8
repository.upenn.edu/ace/vol1/iss1/7/,8
repository.upenn.edu/ace/vol1/iss3/1/,7
repository.upenn.edu/ace/vol1/iss5/4/,7
repository.upenn.edu/ace/vol1/iss5/3/,7
repository.upenn.edu/ace/vol1/iss4/2/,7
repository.upenn.edu/ace/vol1/iss2/4/,7
repository.upenn.edu/ace/vol1/iss5/6/,6
repository.upenn.edu/ace/vol1/iss3/8/,6
repository.upenn.edu/ace/vol1/iss2/2/,5
scholar.google.com.br/,5
repository.upenn.edu/ace/vol1/iss4/6/,5
scholar.google.co.jp/,5
repository.upenn.edu/ace/vol1/iss1/9/,5
repository.upenn.edu/ace/vol1/iss2/6/,5
repository.upenn.edu/ace/vol1/iss1/4/,5
repository.upenn.edu/ace/vol1/iss3/2/,5
repository.upenn.edu/ace/vol1/iss3/19/,5
repository.upenn.edu/ace/vol1/iss4/1/,5
repository.upenn.edu/ace/vol1/iss4/5/,4
scholar.google.ca/,4
scholar.google.es/,4
repository.upenn.edu/ace/vol1/iss3/11/,3
repository.upenn.edu/ace/vol1/iss3/14/,3
repository.upenn.edu/ace/vol1/iss3/3/,3
repository.upenn.edu/ace/vol1/iss3/4/,3
scholar.google.de/,3
scholar.google.co.uk/,3
repository.upenn.edu/ace/vol1/iss4/3/,3
repository.upenn.edu/ace/vol1/iss2/1/,3
scholar.google.co.id/,3
repository.upenn.edu/ace/vol1/iss1/,2
repository.upenn.edu/ace/vol1/iss3/13/,2
repository.upenn.edu/ace/vol1/iss3/12/,2
scholar.google.be/,2
repository.upenn.edu/ace/vol1/iss3/10/,2
scholar.google.com.au/,2
repository.upenn.edu/ace/vol1/iss2/9/,2
duckduckgo.com/,2
repository.upenn.edu/ace/vol1/iss1/3/,2
scholar.google.fr/,2
https%3A%2F%2Fscholar.google.com%2Fscholar%3Fscisbd%3D1%26q%3Ddisease%26hl%3Den%26as_sdt%3D0%2C34,2
repository.upenn.edu/ace/vol1/iss1/6/,2
scholar.google.nl/,2
scholar.google.pl/,2
scholar.google.se/,2
scholar.google.co.kr/,2
repository.upenn.edu/ace/vol1/iss2/10/,2
scholar.google.co.in/,2
repository.upenn.edu/ace/vol1/iss2/3/,2
repository.upenn.edu/ace/vol1/iss3/9/,1
repository.upenn.edu/ace/vol1/iss1/8/,1
repository.upenn.edu/ace/vol1/iss1/5/,1
repository.upenn.edu/ace/vol1/iss2/7/,1
repository.upenn.edu/ace/vol1/iss2/8/,1
repository.upenn.edu/ace/topdownloads.html,1
repository.upenn.edu/,1
plagscan.com,1
my.internal.epo.org/portal/private/epo/work/imservices,1
m.facebook.com,1
https%3A%2F%2Fwww.google.com%2Furl%3Fq%3Dhttps%3A%2F%2Frepository.upenn.edu%2Fcgi%2Fviewcontent.cgi%3Farticle%253D1032%2526context%253Dace%26sa%3DD%26source%3Dhangouts%26ust%3D1571548788978000%26usg%3DAFQjCNElqnYvV8v0gGN3QfJn67WVmU4y5A,1
