Title,Downloads
Building a Successful Startup Team,29
The Promotion Process: Academic Entrepreneurship Career Tracks,29
Digital Health: Software as a Medical Device,28
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,25
FDA Drug Regulation: Investigational New Drug Applications,23
Seeking Venture Capital Investment,19
Overview of Drug Development,17
Clinical and Translational Science Awards,17
What is Academic Entrepreneurship?,15
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,15
Strategic Planning and Costs of FDA Regulation,14
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,13
Development Strategies for Animal Medical Therapeutics,13
Rapid Prototyping Strategies,13
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,13
Working with the University Technology Transfer Office,13
Orphan Drugs: Understanding the FDA Approval Process,12
Writing Business Plans for a Life Science Startup or Clinical Program,12
Accelerators and Incubators,12
Angel Investors,12
Resources at Academic Entrepreneurship Centers,12
Careers in Academia and Industry: Transitions and Challenges,12
Intellectual Property Protection for Biologics,12
SBIR/STTR Grants: Introduction and Overview,12
Startup Company Formation and Management,11
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,11
Identifying Unmet Needs: Problems that Need Solutions,11
Negotiation Strategies,11
SBIR/STTR Grants: Application Guidance,10
Department of Defense: SBIR/STTR Grants and Other Contracts,10
I-Corps as a Training Tool for New Technology Development,10
Social Entrepreneurship in Healthcare,9
"FDA Device Regulation: 510(k), PMA",9
Equity Allocation in Startups,8
Pediatric Medical Device Development Pathways,8
Intellectual Property: Ownership and Protection in a University Setting,8
Understanding Conflict of Interest for Academic Entrepreneurs,7
Nonprofit and Foundation Sponsored Research: Developing New Models of Collaboration for Research and Development,7
Development of Radiographic Contrast Agents for Diagnostic Imaging,6
Innate Biases,6
Reimbursement Strategies and CPT Codes for Device Development,5
Surgical Device Development,5
Marketing in an Academic Institution,5
Handling Disruptive Innovation in Clinical and Research Settings,5
Forming and Maintaining Meaningful Partnerships Between Academic Scientists and Corporations,4
Conducting Insightful Market Research,4
Intellectual Property: Commercializing in a University Setting,3
Draft - Forming and Maintaining Meaningful Partnerships: Academic Scientists and Corporations,2
Overview of Device Development,2
Careers in Academia and Industry:  Transitions and Challenges,
Careers in Academia and Industry: Transitions and Challenges,
The Promotion Process:  Academic Entrepreneurship Career Tracks,
Preclinical Animal Models,
