Country,Downloads
United States,242
United Kingdom,19
China,18
Germany,13
India,11
Taiwan,9
Singapore,8
Netherlands,8
Australia,7
Belgium,7
Canada,6
France,6
Turkey,6
Nigeria,5
Japan,5
Sierra Leone,5
Brazil,4
"Korea, Republic Of",4
Malaysia,4
Viet Nam,4
"Iran, Islamic Republic Of",4
Israel,3
Kenya,3
Thailand,3
South Africa,3
Egypt,3
Ethiopia,2
Ireland,2
Jordan,2
Poland,2
Portugal,2
Sweden,2
Indonesia,1
United Arab Emirates,1
Bangladesh,1
Switzerland,1
Colombia,1
Cyprus,1
Czech Republic,1
Denmark,1
Spain,1
Ghana,1
Greece,1
Hong Kong,1
Austria,1
Italy,1
Lebanon,1
Lithuania,1
Luxembourg,1
Morocco,1
Norway,1
Pakistan,1
Puerto Rico,1
Russian Federation,1
Saudi Arabia,1
Ukraine,1
Uganda,1
