Article,Downloads
Startup Company Formation and Management,6
"FDA Device Regulation: 510(k), PMA",3
Building a Successful Startup Team,2
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,2
Equity Allocation in Startups,1
Seeking Venture Capital Investment,1
Orphan Drugs: Understanding the FDA Approval Process,1
Innate Biases,1
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,1
Digital Health: Software as a Medical Device,1
