Article,Downloads
Writing Business Plans for a Life Science Startup or Clinical Program,37
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,26
Innate Biases,19
Rapid Prototyping Strategies,12
Orphan Drugs: Understanding the FDA Approval Process,9
Equity Allocation in Startups,9
Conducting Insightful Market Research,7
I-Corps as a Training Tool for New Technology Development,7
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,7
Overview of Drug Development,7
"FDA Device Regulation: 510(k), PMA",6
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,6
FDA Drug Regulation: Investigational New Drug Applications,6
The Promotion Process: Academic Entrepreneurship Career Tracks,5
Identifying Unmet Needs: Problems that Need Solutions,5
Social Entrepreneurship in Healthcare,5
Reimbursement Strategies and CPT Codes for Device Development,5
Intellectual Property Protection for Biologics,5
Preclinical Animal Models,5
Pediatric Medical Device Development Pathways,4
Negotiation Strategies,4
SBIR/STTR Grants: Application Guidance,4
Clinical and Translational Science Awards,4
Careers in Academia and Industry: Transitions and Challenges,3
Seeking Venture Capital Investment,3
Development of Radiographic Contrast Agents for Diagnostic Imaging,3
Department of Defense: SBIR/STTR Grants and Other Contracts,3
Accelerators and Incubators,3
What is Academic Entrepreneurship?,2
Resources at Academic Entrepreneurship Centers,2
Handling Disruptive Innovation in Clinical and Research Settings,2
SBIR/STTR Grants: Introduction and Overview,2
Overview of Device Development,2
Startup Company Formation and Management,2
Digital Health: Software as a Medical Device,2
Marketing in an Academic Institution,1
Building a Successful Startup Team,1
Development Strategies for Animal Medical Therapeutics,1
Intellectual Property: Ownership and Protection in a University Setting,1
Intellectual Property: Commercializing in a University Setting,1
Angel Investors,1
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,1
Nonprofit and Foundation Sponsored Research: Developing New Models of Collaboration for Research and Development,1
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,1
