Name,Type,Downloads
"The Children's Hospital of Philadelphia",Education,28
University of Pennsylvania,Education,16
The Methodist Hospital,Organization,9
University of Bristol,Education,5
Yale University,Education,4
Mayo Foundation for Medical Education and Research,Education,4
European Patent Office,Government,4
Penn Medicine,Education,4
University of Michigan Medical Center,Education,4
Oregon State University,Education,3
Indiana University-Purdue University at Indianapolis,Education,3
Research Network University of Ghent,Education,2
NUS,Education,2
Hogan Hartson,Commercial,2
St Marys Newman Academic Centre,Education,2
Wework Management LLC,Commercial,1
USDA Office of Operations,Government,1
HCA Hospital Corporation of America,Commercial,1
University of Minnesota,Education,1
University of Chicago,Education,1
Pfizer Inc.,Commercial,1
National Institutes of Health,Government,1
University of South Florida,Education,1
Stanford University,Education,1
Cleveland Clinic Foundation,Organization,1
Taiwan Academic Network,Education,1
University of California at Berkeley,Education,1
Birkbeck College,Education,1
Covington & Burling LLP,Commercial,1
Colleges of the Fenway Inc.,Education,1
Oxford University,Education,1
Medical University of South Carolina,Education,1
University of Tehran Informatics Center,Education,1
Institutions of Higher Learning,Education,1
E.I. du Pont de Nemours and Co. Inc.,Commercial,1
"Children's Hospital Medical Center Cincinnati",Organization,1
V.O.P. Colli Service,Commercial,1
Paley Rothman Law,Commercial,1
Edge Hill University,Education,1
The University of Melbourne,Education,1
"Xi'An Jiao Tong University",Education,1
Glasgow Caledonian University,Education,1
Tyco Electronics Corporation,Commercial,1
NNIT A/S,Commercial,1
Universitaet Rostock,Education,1
Hackensack University,Education,1
The Associated Press,Organization,1
Digital Insights & Resear,Commercial,1
Intelg Labs Network,Commercial,1
TEVA,Commercial,1
Testamerica Laboratories Inc.,Commercial,1
Nitronet Sp. z o.o.,Commercial,1
Biosensors Interventional Technologies Pte Ltd,Commercial,1
Csir Unit for Research & Development of Information Products (Urdip) Pune,Commercial,1
Universiteit Leiden,Education,1
Exact Sciences Corporation,Commercial,1
Holland Account Support BV,Commercial,1
Agrana Beteiligungs AG,Commercial,1
Pool Menara,Commercial,1
Charles River Analytics,Commercial,1
Nottingham Trent University,Education,1
Customers in Cherubmall,Commercial,1
This Prefix is for Suburban Broadband Ltd Nigeria West Africa.,Commercial,1
Schnur O PS Assoc LLC,Commercial,1
Aspen Institute Inc the,Education,1
Udasha,Commercial,1
Air Force Systems Networking,Military,1
Rudong Education,Commercial,1
Aloft Apts LLC,Commercial,1
Nikkiso Co. Ltd.,Commercial,1
Chemocentryx Inc,Commercial,1
Parklawn Computer Center/Dimes HQ,Government,1
