Referrer,Downloads
www.google.com/,110
scholar.google.com/,54
repository.upenn.edu/ace/vol1/iss2/2/,28
repository.upenn.edu/ace/vol1/iss4/5/,16
repository.upenn.edu/ace/vol1/iss4/2/,9
repository.upenn.edu/do/search/,7
repository.upenn.edu/ace/vol1/iss1/9/,6
repository.upenn.edu/ace/vol1/iss5/1/,5
repository.upenn.edu/ace/vol1/iss4/4/,5
repository.upenn.edu/ace/vol1/iss5/6/,5
repository.upenn.edu/ace/vol1/iss5/3/,4
scholar.google.de/,4
repository.upenn.edu/ace/vol1/iss5/5/,4
https%3A%2F%2Fscholar.google.com%2Fscholar%3Fhl%3Den%26as_sdt%3D0%252C5%26as_ylo%3D2015%26q%3Dstartup%2Bin%2Bbristol%26btnG%3D,4
repository.upenn.edu/ace/vol1/iss1/2/,3
repository.upenn.edu/ace/vol1/iss3/16/,3
repository.upenn.edu/ace/vol1/iss4/3/,3
repository.upenn.edu/ace/vol1/iss3/4/,3
repository.upenn.edu/ace/vol1/iss2/6/,3
scholar.google.be/,2
repository.upenn.edu/ace/vol1/iss3/9/,2
repository.upenn.edu/ace/vol1/iss3/7/,2
repository.upenn.edu/ace/vol1/iss3/17/,2
repository.upenn.edu/ace/vol1/iss1/4/,2
www.google.de/,2
scholar.google.com.tw/,2
repository.upenn.edu/ace/vol1/iss4/1/,2
repository.upenn.edu/ace/vol1/iss5/4/,2
duckduckgo.com/,2
app.asana.com/0/1108274483725679/1146095688072098,2
scholar.google.com.eg/,2
www.google.ca/,2
www.google.co.jp/url,2
www.google.com.br/,2
repository.upenn.edu/ace/vol1/iss2/10/,1
https%3A%2F%2Fscholar.google.com%2Fscholar%3Fas_ylo%3D2015%26q%3DIntrapreneurship%2Bas%2Bpart%2Bof%2Binnovation%2Bmanagement%2B%26hl%3Den%26as_sdt%3D0%2C5,1
repository.upenn.edu/ace/vol1/iss2/4/,1
https%3A%2F%2Fscholar.google.com%2Fscholar%3Fas_ylo%3D2015%26q%3Dsoftbank%2Binvestments%26hl%3Dde%26as_sdt%3D0%2C5,1
https%3A%2F%2Fscholar.google.com%2Fscholar%3Fas_ylo%3D2019%26q%3Dbusiness%2Bplans%2Bof%2Bthe%2Bcompany%26hl%3Den%26as_sdt%3D0%2C5,1
repository.upenn.edu/ace/vol1/iss3/13/,1
https%3A%2F%2Fscholar.google.com%2Fscholar%3Fhl%3Den%26as_sdt%3D0%252C14%26as_ylo%3D2018%26q%3Doverconfidence%2Bbias%2Bacademics%26btnG%3D,1
xs.zb-welding.com/scholar,1
repository.upenn.edu/ace/vol1/iss3/19/,1
https%3A%2F%2Fscholar.google.com%2Fscholar%3Fq%3Dstartup%2Bin%2Bbristol%26hl%3Den%26as_sdt%3D0%252C5%26as_ylo%3D2010%26as_yhi%3D,1
repository.upenn.edu/ace/vol1/iss3/6/,1
https%3A%2F%2Fscholar.google.com%2Fscholar%3Fstart%3D10%26q%3Dtalent%2Bshortage%2B%2Bin%2Bhealthcare%2B2019%26hl%3Den%26as_sdt%3D0%2C47%26as_vis%3D1,1
