Title,Downloads
Writing Business Plans for a Life Science Startup or Clinical Program,52
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,39
Innate Biases,33
Equity Allocation in Startups,21
Orphan Drugs: Understanding the FDA Approval Process,19
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,18
Seeking Venture Capital Investment,15
Rapid Prototyping Strategies,15
FDA Drug Regulation: Investigational New Drug Applications,13
Accelerators and Incubators,11
Negotiation Strategies,11
Startup Company Formation and Management,10
"FDA Device Regulation: 510(k), PMA",10
Development of Radiographic Contrast Agents for Diagnostic Imaging,10
Overview of Drug Development,10
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,9
Preclinical Animal Models,9
Building a Successful Startup Team,9
Conducting Insightful Market Research,9
Intellectual Property Protection for Biologics,8
I-Corps as a Training Tool for New Technology Development,8
Reimbursement Strategies and CPT Codes for Device Development,8
SBIR/STTR Grants: Application Guidance,8
The Promotion Process: Academic Entrepreneurship Career Tracks,7
Pediatric Medical Device Development Pathways,7
Overview of Device Development,6
Social Entrepreneurship in Healthcare,6
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,6
Strategic Planning and Costs of FDA Regulation,5
Digital Health: Software as a Medical Device,5
What is Academic Entrepreneurship?,5
Angel Investors,5
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,5
Identifying Unmet Needs: Problems that Need Solutions,5
Working with the University Technology Transfer Office,4
Clinical and Translational Science Awards,4
Department of Defense: SBIR/STTR Grants and Other Contracts,4
Careers in Academia and Industry: Transitions and Challenges,4
Development Strategies for Animal Medical Therapeutics,3
Resources at Academic Entrepreneurship Centers,3
Handling Disruptive Innovation in Clinical and Research Settings,3
SBIR/STTR Grants: Introduction and Overview,2
Marketing in an Academic Institution,2
Nonprofit and Foundation Sponsored Research: Developing New Models of Collaboration for Research and Development,1
Intellectual Property: Commercializing in a University Setting,1
Intellectual Property: Ownership and Protection in a University Setting,1
Draft - Forming and Maintaining Meaningful Partnerships: Academic Scientists and Corporations,
Careers in Academia and Industry: Transitions and Challenges,
Laws and Ethics in relation to Medical Entrepreneurship,
The Promotion Process:  Academic Entrepreneurship Career Tracks,
Surgical Device Development,
Careers in Academia and Industry:  Transitions and Challenges,
Understanding Conflict of Interest for Academic Entrepreneurs,
Forming and Maintaining Meaningful Partnerships Between Academic Scientists and Corporations,
