Article,Downloads
Intellectual Property Protection for Biologics,14
Orphan Drugs: Understanding the FDA Approval Process,13
Innate Biases,13
Equity Allocation in Startups,11
Overview of Drug Development,10
What is Academic Entrepreneurship?,9
"FDA Device Regulation: 510(k), PMA",8
FDA Drug Regulation: Investigational New Drug Applications,8
SBIR/STTR Grants: Application Guidance,8
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,7
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,6
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,5
Accelerators and Incubators,5
Building a Successful Startup Team,4
Writing Business Plans for a Life Science Startup or Clinical Program,4
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,4
Strategic Planning and Costs of FDA Regulation,4
Digital Health: Software as a Medical Device,4
Handling Disruptive Innovation in Clinical and Research Settings,3
Pediatric Medical Device Development Pathways,3
Reimbursement Strategies and CPT Codes for Device Development,3
Department of Defense: SBIR/STTR Grants and Other Contracts,3
I-Corps as a Training Tool for New Technology Development,3
Negotiation Strategies,3
Clinical and Translational Science Awards,3
Overview of Device Development,2
Identifying Unmet Needs: Problems that Need Solutions,2
SBIR/STTR Grants: Introduction and Overview,2
Angel Investors,2
Development of Radiographic Contrast Agents for Diagnostic Imaging,2
Conducting Insightful Market Research,2
Working with the University Technology Transfer Office,2
Startup Company Formation and Management,2
Preclinical Animal Models,2
Careers in Academia and Industry: Transitions and Challenges,1
Rapid Prototyping Strategies,1
Development Strategies for Animal Medical Therapeutics,1
Seeking Venture Capital Investment,1
