Country,Downloads
United States,179
Germany,13
India,13
United Kingdom,11
Canada,9
Pakistan,9
"Korea, Republic Of",9
Israel,8
"Iran, Islamic Republic Of",6
Singapore,6
Taiwan,5
Denmark,4
France,4
Switzerland,4
Indonesia,4
Ireland,4
Saudi Arabia,4
Hong Kong,4
Belgium,3
Spain,3
Portugal,3
Sweden,3
Viet Nam,3
South Africa,3
Austria,2
Australia,2
Brazil,2
China,2
Estonia,2
Ethiopia,2
Italy,2
Japan,2
Kenya,2
Lebanon,2
Lithuania,2
Malaysia,2
Nigeria,2
Netherlands,2
Philippines,2
Russian Federation,2
Thailand,2
Turkey,2
Uruguay,2
Jordan,1
United Arab Emirates,1
Bangladesh,1
Bulgaria,1
Bahrain,1
Chile,1
Greece,1
Croatia,1
Albania,1
Cambodia,1
Morocco,1
New Zealand,1
Serbia,1
Slovenia,1
Slovakia,1
Somalia,1
Zimbabwe,1
