Article,Downloads
What is Academic Entrepreneurship?,4
Strategic Planning and Costs of FDA Regulation,3
Identifying Unmet Needs: Problems that Need Solutions,2
Building a Successful Startup Team,2
"FDA Device Regulation: 510(k), PMA",2
Conducting Insightful Market Research,2
Handling Disruptive Innovation in Clinical and Research Settings,1
Pediatric Medical Device Development Pathways,1
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,1
Overview of Device Development,1
