Referrer,Downloads
www.google.com/,220
scholar.google.com/,17
repository.upenn.edu/ace/vol1/iss1/2/,8
repository.upenn.edu/ace/vol1/iss3/4/,5
repository.upenn.edu/ace/vol1/iss3/13/,5
repository.upenn.edu/ace/vol1/iss3/16/,4
repository.upenn.edu/ace/topdownloads.html,4
www.google.com/url,4
repository.upenn.edu/do/search/,3
repository.upenn.edu/ace/vol1/iss2/2/,3
repository.upenn.edu/ace/vol1/iss1/4/,3
repository.upenn.edu/ace/vol1/iss3/7/,3
www.google.com.tw/,2
repository.upenn.edu/ace/vol1/iss2/6/,2
duckduckgo.com/,2
repository.upenn.edu/ace/vol1/iss1/6/,2
repository.upenn.edu/ace/vol1/iss1/7/,2
repository.upenn.edu/ace/vol1/iss3/17/,2
repository.upenn.edu/ace/vol1/iss3/19/,2
repository.upenn.edu/ace/vol1/iss2/1/,2
plagscan.com,2
repository.upenn.edu/ace/vol1/iss3/9/,2
repository.upenn.edu/ace/vol1/iss4/1/,2
repository.upenn.edu/ace/vol1/iss4/4/,2
repository.upenn.edu/ace/vol1/iss2/4/,2
repository.upenn.edu/ace/vol1/iss2/5/,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dorphan%2BIND%2Bsubmission%26src%3DIE-SearchBox%26FORM%3DIESR4A,1
repository.upenn.edu/ace/vol1/iss2/8/,1
repository.upenn.edu/ace/vol1/iss2/9/,1
repository.upenn.edu/ace/vol1/iss3/11/,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dorphan%2Bdrug%2Bdesignation%2Brequest%2Belectronically%26qs%3DNW%26pq%3Dorphan%2Bdrug%2Bdesignation%2Brequest%2Belectroni%26sk%3DNW1%26sc%3D2-41%26cvid%3D3C97D8C999C54262A0C9F3B839DAB0F7%26FORM%3DQBRE%26sp%3D2,1
repository.upenn.edu/ace/vol1/iss3/14/,1
www.google.se/,1
https%3A%2F%2Fscholar.google.com%2Fscholar%3Fhl%3Dde%26as_sdt%3D0%252C5%26as_ylo%3D2015%26q%3Dhuman%2Bcentered%2Bdesign%26btnG%3D,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3DUS%2520reimbursement%2520strategies%2520for%2520obtaining%2520updated%2520J%2520codes%26qs%3Dn%26form%3DQBRE%26sp%3D-1%26pq%3Dus%2520reimbursement%2520strategies%2520for%2520obtaining%2520updated%2520j%2520codes%26sc%3D1-57%26sk%3D%26cvid%3DFBB84AF4A4284C938826E9922D35B5CB,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dbias%2520innate%26qs%3Dn%26form%3DQBRE%26sp%3D-1%26pq%3Dbias%2520innate%26sc%3D8-11%26sk%3D%26cvid%3DAD51DA3677AF46B8A432CBFF83517E8A,1
repository.upenn.edu/ace/vol1/iss3/2/,1
repository.upenn.edu/ace/vol1/iss3/20/,1
repository.upenn.edu/ace/vol1/iss3/3/,1
repository.upenn.edu/ace/vol1/iss1/9/,1
repository.upenn.edu/ace/vol1/iss3/6/,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dhistory%2Bof%2Bclinical%2Band%2Btranslational%2Bscience%2Bawards%26form%3DPRUSEN%26mkt%3Den-us%26httpsmsn%3D1%26msnews%3D1%26rec_search%3D1%26refig%3D99e252ef5c3c498ab56d00be31716c45%26sp%3D-1%26ghc%3D1%26pq%3Dhistory%2Bof%2Bclinical%2Band%2Btranslational%2Bscience%2Bawards%26sc%3D1-52%26qs%3Dn%26sk%3D%26cvid%3D99e252ef5c3c498ab56d00be31716c45,1
repository.upenn.edu/ace/vol1/iss3/8/,1
repository.upenn.edu/ace/vol1/iss2/10/,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dinnate%2Bbias%26qs%3DAS%26pq%3Dinnate%2Bbias%26sc%3D6-11%26cvid%3D6FEFBAF5FE7144B3AD313B0A7EF9E51F%26FORM%3DQBRE%26sp%3D1%26ghc%3D1,1
repository.upenn.edu/ace/vol1/iss4/2/,1
repository.upenn.edu/ace/vol1/iss2/3/,1
repository.upenn.edu/ace/vol1/iss4/5/,1
repository.upenn.edu/ace/vol1/iss4/6/,1
repository.upenn.edu/ace/vol1/iss5/1/,1
repository.upenn.edu/ace/vol1/iss5/5/,1
scholar.google.co.uk/,1
scholar.google.com.br/,1
scholar.google.es/,1
search.yahoo.com/,1
www.google.ae/,1
www.google.ca/,1
www.google.co.in/url,1
www.google.co.kr/url,1
www.google.co.uk/,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dorphan%2520drugs%2520usa%2520approval%2520process%26qs%3Dn%26form%3DQBRE%26sp%3D-1%26pq%3Dorphan%2520drugs%2520usa%2520approval%2520process%26sc%3D1-33%26sk%3D%26cvid%3D1EF47FDD245B4AFC8811D7220A4BFBDA,1
www.google.de/url,1
www.google.es/url,1
repository.upenn.edu/ace/vol1/iss3/15/,1
