Title,Downloads
Equity Allocation in Startups,47
Accelerators and Incubators,43
Orphan Drugs: Understanding the FDA Approval Process,40
Innate Biases,24
Intellectual Property Protection for Biologics,23
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,22
"FDA Device Regulation: 510(k), PMA",17
Writing Business Plans for a Life Science Startup or Clinical Program,17
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,13
FDA Drug Regulation: Investigational New Drug Applications,12
Overview of Drug Development,12
What is Academic Entrepreneurship?,10
Working with the University Technology Transfer Office,10
Building a Successful Startup Team,8
Digital Health: Software as a Medical Device,8
SBIR/STTR Grants: Application Guidance,8
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,6
Intellectual Property: Commercializing in a University Setting,6
Strategic Planning and Costs of FDA Regulation,6
Preclinical Animal Models,5
Handling Disruptive Innovation in Clinical and Research Settings,5
Development of Radiographic Contrast Agents for Diagnostic Imaging,5
Reimbursement Strategies and CPT Codes for Device Development,5
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,5
Pediatric Medical Device Development Pathways,4
Angel Investors,4
Seeking Venture Capital Investment,4
Negotiation Strategies,4
Identifying Unmet Needs: Problems that Need Solutions,4
Startup Company Formation and Management,4
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,3
SBIR/STTR Grants: Introduction and Overview,3
Conducting Insightful Market Research,3
I-Corps as a Training Tool for New Technology Development,3
Department of Defense: SBIR/STTR Grants and Other Contracts,3
Overview of Device Development,3
Clinical and Translational Science Awards,3
Careers in Academia and Industry: Transitions and Challenges,2
The Promotion Process: Academic Entrepreneurship Career Tracks,2
Development Strategies for Animal Medical Therapeutics,1
Social Entrepreneurship in Healthcare,1
Rapid Prototyping Strategies,1
Understanding Conflict of Interest for Academic Entrepreneurs,1
Careers in Academia and Industry:  Transitions and Challenges,
The Promotion Process:  Academic Entrepreneurship Career Tracks,
Intellectual Property: Ownership and Protection in a University Setting,
Draft - Forming and Maintaining Meaningful Partnerships: Academic Scientists and Corporations,
Laws and Ethics in relation to Medical Entrepreneurship,
Resources at Academic Entrepreneurship Centers,
Surgical Device Development,
Nonprofit and Foundation Sponsored Research: Developing New Models of Collaboration for Research and Development,
Forming and Maintaining Meaningful Partnerships Between Academic Scientists and Corporations,
Careers in Academia and Industry: Transitions and Challenges,
Marketing in an Academic Institution,
