Country,Downloads
United States,664
India,47
United Kingdom,22
Germany,19
Canada,15
"Korea, Republic Of",13
Australia,12
France,12
Netherlands,10
Ireland,8
Singapore,8
Denmark,7
Italy,6
Switzerland,6
Kenya,6
Hong Kong,5
Saudi Arabia,5
Taiwan,5
Japan,5
Spain,4
Israel,4
Nigeria,4
Pakistan,4
South Africa,4
Greece,4
Bangladesh,3
Brazil,3
China,3
Indonesia,3
"Iran, Islamic Republic Of",3
Malaysia,3
Sweden,3
Turkey,3
Lebanon,2
Norway,2
Poland,2
Thailand,2
"Tanzania, United Republic Of",2
Uganda,2
Mexico,2
Afghanistan,1
Argentina,1
Belgium,1
Chile,1
Cameroon,1
Colombia,1
Estonia,1
Egypt,1
Zambia,1
Finland,1
Hungary,1
Lesotho,1
"Macedonia, The Former Yugoslav Republic Of",1
Nepal,1
Philippines,1
Puerto Rico,1
Qatar,1
Serbia,1
Russian Federation,1
Solomon Islands,1
Swaziland,1
Viet Nam,1
Ethiopia,1
