Article,Downloads
Orphan Drugs: Understanding the FDA Approval Process,7
Preclinical Animal Models,6
Intellectual Property Protection for Biologics,6
Careers in Academia and Industry: Transitions and Challenges,4
"FDA Device Regulation: 510(k), PMA",4
FDA Drug Regulation: Investigational New Drug Applications,4
Writing Business Plans for a Life Science Startup or Clinical Program,4
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,2
Innate Biases,2
Accelerators and Incubators,1
Intellectual Property: Commercializing in a University Setting,1
Equity Allocation in Startups,1
Seeking Venture Capital Investment,1
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,1
Department of Defense: SBIR/STTR Grants and Other Contracts,1
Overview of Device Development,1
Strategic Planning and Costs of FDA Regulation,1
