Article,Downloads
What is Academic Entrepreneurship?,4
Resources at Academic Entrepreneurship Centers,2
Rapid Prototyping Strategies,2
Identifying Unmet Needs: Problems that Need Solutions,1
Building a Successful Startup Team,1
Handling Disruptive Innovation in Clinical and Research Settings,1
Intellectual Property: Ownership and Protection in a University Setting,1
SBIR/STTR Grants: Introduction and Overview,1
I-Corps as a Training Tool for New Technology Development,1
SBIR/STTR Grants: Application Guidance,1
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,1
