Article,Downloads
What is Academic Entrepreneurship?,7
Overview of Device Development,3
Identifying Unmet Needs: Problems that Need Solutions,2
Building a Successful Startup Team,2
Understanding Conflict of Interest for Academic Entrepreneurs,2
Surgical Device Development,2
The Promotion Process: Academic Entrepreneurship Career Tracks,1
Resources at Academic Entrepreneurship Centers,1
Forming and Maintaining Meaningful Partnerships Between Academic Scientists and Corporations,1
Rapid Prototyping Strategies,1
Marketing in an Academic Institution,1
Intellectual Property: Ownership and Protection in a University Setting,1
Working with the University Technology Transfer Office,1
Pediatric Medical Device Development Pathways,1
Reimbursement Strategies and CPT Codes for Device Development,1
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,1
Conducting Insightful Market Research,1
I-Corps as a Training Tool for New Technology Development,1
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,1
Negotiation Strategies,1
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,1
