Referrer,Downloads
www.google.com/,359
repository.upenn.edu/ace/vol1/iss5/4/,65
repository.upenn.edu/ace/vol1/iss1/2/,50
repository.upenn.edu/ace/vol1/iss4/1/,47
repository.upenn.edu/ace/vol1/iss4/6/,39
repository.upenn.edu/ace/vol1/iss2/3/,36
repository.upenn.edu/ace/vol1/iss5/6/,30
scholar.google.com/,29
repository.upenn.edu/ace/vol1/iss1/6/,22
repository.upenn.edu/ace/vol1/iss1/4/,16
repository.upenn.edu/ace/vol1/iss5/3/,15
repository.upenn.edu/ace/vol1/iss3/17/,12
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dphases%2Bof%2Btrials%2Bfor%2Borphan%2Bdrugs%26form%3DEDGTCT%26qs%3DPF%26cvid%3D3f3613d71f8d44549bb8368f0b991fbe%26refig%3Deb15a657a23542fbfd4137ab24819d0e%26cc%3DUS%26setlang%3Den-US%26plvar%3D0,11
repository.upenn.edu/ace/vol1/iss4/2/,11
repository.upenn.edu/ace/vol1/iss3/18/,11
repository.upenn.edu/ace/vol1/iss3/13/,11
duckduckgo.com/,7
repository.upenn.edu/ace/vol1/iss4/5/,6
repository.upenn.edu/ace/vol1/iss3/6/,5
www.google.com/url,5
repository.upenn.edu/ace/vol1/iss3/16/,5
repository.upenn.edu/,5
repository.upenn.edu/ace/vol1/iss3/1/,5
www.google.co.uk/,5
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dfda%2Borphan%2Bdrug%2Bapproval%2Bprocess%26FORM%3DQSRE1,4
repository.upenn.edu/ace/vol1/iss3/2/,4
repository.upenn.edu/ace/vol1/iss3/10/,4
repository.upenn.edu/ace/vol1/iss2/6/,4
repository.upenn.edu/ace/vol1/iss5/1/,4
repository.upenn.edu/ace/vol1/iss4/4/,4
repository.upenn.edu/do/search/,4
repository.upenn.edu/ace/vol1/iss3/4/,3
repository.upenn.edu/ace/vol1/iss3/5/,3
repository.upenn.edu/ace/vol1/iss2/1/,3
repository.upenn.edu/ace/vol1/iss1/7/,3
repository.upenn.edu/ace/vol1/iss3/19/,3
repository.upenn.edu/ace/vol1/iss3/20/,3
repository.upenn.edu/ace/vol1/iss2/8/,3
repository.upenn.edu/ace/vol1/iss1/3/,3
repository.upenn.edu/ace/vol1/iss3/7/,3
