Country,Downloads
United States,1134
India,59
United Kingdom,33
Canada,25
Germany,18
Ireland,17
France,15
China,13
Spain,11
Israel,9
"Korea, Republic Of",9
Hong Kong,8
Nigeria,8
Singapore,8
South Africa,8
Indonesia,6
Brazil,6
Russian Federation,6
Philippines,6
Switzerland,5
Mexico,5
Netherlands,5
Portugal,5
Sweden,5
Kenya,5
Taiwan,5
Turkey,5
Australia,4
Japan,4
Malaysia,4
Saudi Arabia,4
Belgium,3
Ghana,3
"Iran, Islamic Republic Of",3
Jordan,3
Romania,3
Ethiopia,2
Iraq,2
Italy,2
Norway,2
Uganda,2
Viet Nam,2
Hungary,2
United Arab Emirates,1
Albania,1
Armenia,1
Argentina,1
Bahamas,1
Cuba,1
Cyprus,1
Czech Republic,1
Estonia,1
Zimbabwe,1
Fiji,1
Georgia,1
Guyana,1
Lebanon,1
Lithuania,1
Myanmar,1
Mauritius,1
Malawi,1
Namibia,1
Nicaragua,1
Qatar,1
Serbia,1
Thailand,1
Tunisia,1
"Tanzania, United Republic Of",1
Egypt,1
