Article,Downloads
"FDA Device Regulation: 510(k), PMA",3
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,3
Writing Business Plans for a Life Science Startup or Clinical Program,2
Digital Health: Software as a Medical Device,2
Building a Successful Startup Team,1
Accelerators and Incubators,1
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,1
Orphan Drugs: Understanding the FDA Approval Process,1
Department of Defense: SBIR/STTR Grants and Other Contracts,1
Negotiation Strategies,1
Strategic Planning and Costs of FDA Regulation,1
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,1
