Article,Downloads
Orphan Drugs: Understanding the FDA Approval Process,14
Intellectual Property Protection for Biologics,10
Accelerators and Incubators,5
"FDA Device Regulation: 510(k), PMA",4
Development of Radiographic Contrast Agents for Diagnostic Imaging,4
FDA Drug Regulation: Investigational New Drug Applications,3
Startup Company Formation and Management,3
Writing Business Plans for a Life Science Startup or Clinical Program,2
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,2
Marketing in an Academic Institution,1
Preclinical Animal Models,1
Intellectual Property: Commercializing in a University Setting,1
Reimbursement Strategies and CPT Codes for Device Development,1
Equity Allocation in Startups,1
Seeking Venture Capital Investment,1
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,1
Nonprofit and Foundation Sponsored Research: Developing New Models of Collaboration for Research and Development,1
Innate Biases,1
SBIR/STTR Grants: Application Guidance,1
Overview of Drug Development,1
Building a Successful Startup Team,1
