Article,Downloads
Orphan Drugs: Understanding the FDA Approval Process,103
"FDA Device Regulation: 510(k), PMA",97
Careers in Academia and Industry:  Transitions and Challenges,61
FDA Drug Regulation: Investigational New Drug Applications,57
Preclinical Animal Models,53
Writing Business Plans for a Life Science Startup or Clinical Program,50
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,48
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,44
Intellectual Property: Ownership and Protection in a University Setting,42
SBIR/STTR Grants: Application Guidance,37
Intellectual Property: Commercializing in a University Setting,37
Surgical Device Development,36
Overview of Device Development,34
Development Strategies for Animal Medical Therapeutics,33
The Promotion Process:  Academic Entrepreneurship Career Tracks,33
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,33
Intellectual Property Protection for Biologics,32
Innate Biases,30
The Promotion Process: Academic Entrepreneurship Career Tracks,22
Pediatric Medical Device Development Pathways,22
Department of Defense: SBIR/STTR Grants and Other Contracts,20
Accelerators and Incubators,18
Reimbursement Strategies and CPT Codes for Device Development,17
Equity Allocation in Startups,17
Negotiation Strategies,16
Building a Successful Startup Team,13
Working with the University Technology Transfer Office,13
What is Academic Entrepreneurship?,12
Overview of Drug Development,10
I-Corps as a Training Tool for New Technology Development,9
Resources at Academic Entrepreneurship Centers,8
Development of Radiographic Contrast Agents for Diagnostic Imaging,8
Strategic Planning and Costs of FDA Regulation,8
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,8
Identifying Unmet Needs: Problems that Need Solutions,8
Digital Health: Software as a Medical Device,7
Handling Disruptive Innovation in Clinical and Research Settings,6
Rapid Prototyping Strategies,5
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,5
Nonprofit and Foundation Sponsored Research: Developing New Models of Collaboration for Research and Development,5
Social Entrepreneurship in Healthcare,4
SBIR/STTR Grants: Introduction and Overview,4
Forming and Maintaining Meaningful Partnerships Between Academic Scientists and Corporations,3
Angel Investors,2
Careers in Academia and Industry: Transitions and Challenges,1
Understanding Conflict of Interest for Academic Entrepreneurs,1
Conducting Insightful Market Research,1
Startup Company Formation and Management,1
