Name,Type,Downloads
University of Pennsylvania,Education,250
EVO Philadelphia,Education,45
Penn Medicine,Education,32
"The Children's Hospital of Philadelphia",Education,13
General Electric Company,Commercial,7
Parklawn Computer Center/Dimes HQ,Government,6
One Mansion Inc,Commercial,5
Five Net Service Provider Pvt. Ltd.,Commercial,4
Carnegie Mellon University,Education,3
Ohio Public Library Information Network,Library,3
Merck and Co. Inc.,Commercial,3
Halliburton Company,Commercial,3
Athlone Institute of Technology,Organization,3
University of Missouri - Kansas City,Education,3
Temple University,Education,2
Northeastern University,Education,2
New York University,Education,2
Case Western Reserve University,Education,2
University of Oregon,Education,2
United States Senate,Government,2
Novartis,Commercial,2
Wichita State University,Education,2
University of Michigan School of Nursing,Education,2
NTU,Education,2
Sanofi Aventis Group SA,Commercial,2
Warwickshire College,Education,2
Genscript Corp,Commercial,2
Beld,Commercial,2
Air Force Systems Networking,Military,2
The Bloomsbury Computing Consortium,Education,2
Headquarters USAISC,Military,1
University of Texas at Austin,Education,1
University of Connecticut,Education,1
University of Pretoria,Education,1
Indiana University-Purdue University at Indianapolis,Education,1
Department of Veterans Affairs,Government,1
University of Pittsburgh,Education,1
University of Wisconsin Madison,Education,1
HealthSouth Corporation,Commercial,1
Cornell University,Education,1
Arizona State University,Education,1
Mayo Foundation for Medical Education and Research,Education,1
New York State Unified Court System,Government,1
Drexel University,Education,1
University of Rochester,Education,1
Pfizer Inc.,Commercial,1
University of Texas at Dallas,Education,1
University of Georgia,Education,1
United States Patent and Trademark Office,Government,1
Regeneron,Commercial,1
American University,Education,1
University of Waterloo,Education,1
U.S. Dept. of Health and Human Services,Government,1
University of Miami,Education,1
SUNY College at Cortland,Education,1
San Diego State University,Education,1
University of Michigan,Education,1
Vrije Universiteit Amsterdam,Education,1
Seton Hall University,Education,1
University of Notre Dame,Education,1
Washington University,Education,1
University of California San Diego,Education,1
University of Arizona,Education,1
University of Texas at El Paso,Education,1
Oxford University,Education,1
Medical University of South Carolina,Education,1
Fundacao Para a Ciencia e a Tecnologia I.P.,Government,1
The Halton Board of Education,Education,1
University of Akron,Education,1
Bloomberg Financial Market,Commercial,1
NorthShore University HealthSystem,Education,1
Martin-Luther-Universitaet Halle-Wittenberg,Education,1
Tallahassee Memorial HealthCare Inc.,Organization,1
Gemeinde Hohentengen Eb MOKO,Commercial,1
Norsk Helsenett Sf,Commercial,1
Lund University,Education,1
University of Alabama at Birmingham - University Computer Center,Education,1
Aquinas College,Education,1
Network Innovations Inc.,Commercial,1
Freie Universitaet Berlin,Education,1
University of Texas at Arlington,Education,1
Indian Institutes of Management Ahmedabad,Education,1
