Article,Downloads
"FDA Device Regulation: 510(k), PMA",6
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,5
Intellectual Property: Ownership and Protection in a University Setting,4
Writing Business Plans for a Life Science Startup or Clinical Program,4
Development Strategies for Animal Medical Therapeutics,3
Intellectual Property: Commercializing in a University Setting,3
FDA Drug Regulation: Investigational New Drug Applications,3
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,3
Surgical Device Development,3
Overview of Device Development,3
Preclinical Animal Models,3
Pediatric Medical Device Development Pathways,2
Careers in Academia and Industry:  Transitions and Challenges,2
Building a Successful Startup Team,1
