Article,Downloads
Writing Business Plans for a Life Science Startup or Clinical Program,4
The Promotion Process: Academic Entrepreneurship Career Tracks,2
Resources at Academic Entrepreneurship Centers,2
Handling Disruptive Innovation in Clinical and Research Settings,2
"FDA Device Regulation: 510(k), PMA",2
Intellectual Property: Ownership and Protection in a University Setting,2
Building a Successful Startup Team,1
Development Strategies for Animal Medical Therapeutics,1
Intellectual Property: Commercializing in a University Setting,1
Working with the University Technology Transfer Office,1
FDA Drug Regulation: Investigational New Drug Applications,1
Pediatric Medical Device Development Pathways,1
Angel Investors,1
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,1
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,1
I-Corps as a Training Tool for New Technology Development,1
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,1
Negotiation Strategies,1
Surgical Device Development,1
SBIR/STTR Grants: Application Guidance,1
Overview of Device Development,1
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,1
Preclinical Animal Models,1
Careers in Academia and Industry:  Transitions and Challenges,1
