Article,Downloads
Digital Health: Software as a Medical Device,2
Forming and Maintaining Meaningful Partnerships Between Academic Scientists and Corporations,2
What is Academic Entrepreneurship?,1
The Promotion Process: Academic Entrepreneurship Career Tracks,1
Accelerators and Incubators,1
Conducting Insightful Market Research,1
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,1
I-Corps as a Training Tool for New Technology Development,1
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,1
Overview of Drug Development,1
Careers in Academia and Industry:  Transitions and Challenges,1
