Article,Downloads
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,20
"FDA Device Regulation: 510(k), PMA",20
Intellectual Property: Ownership and Protection in a University Setting,18
Writing Business Plans for a Life Science Startup or Clinical Program,17
Surgical Device Development,17
FDA Drug Regulation: Investigational New Drug Applications,16
Preclinical Animal Models,16
Intellectual Property: Commercializing in a University Setting,15
Overview of Device Development,15
Careers in Academia and Industry:  Transitions and Challenges,15
Development Strategies for Animal Medical Therapeutics,13
The Promotion Process: Academic Entrepreneurship Career Tracks,12
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,12
Negotiation Strategies,10
Pediatric Medical Device Development Pathways,6
What is Academic Entrepreneurship?,4
Handling Disruptive Innovation in Clinical and Research Settings,4
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,4
Identifying Unmet Needs: Problems that Need Solutions,3
Building a Successful Startup Team,3
Orphan Drugs: Understanding the FDA Approval Process,3
I-Corps as a Training Tool for New Technology Development,3
Resources at Academic Entrepreneurship Centers,2
Rapid Prototyping Strategies,1
Accelerators and Incubators,1
