Title,Downloads
Orphan Drugs: Understanding the FDA Approval Process,178
"FDA Device Regulation: 510(k), PMA",116
FDA Drug Regulation: Investigational New Drug Applications,79
Writing Business Plans for a Life Science Startup or Clinical Program,79
Preclinical Animal Models,73
Intellectual Property Protection for Biologics,65
Careers in Academia and Industry:  Transitions and Challenges,61
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,55
Intellectual Property: Commercializing in a University Setting,52
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,52
SBIR/STTR Grants: Application Guidance,48
Innate Biases,46
Intellectual Property: Ownership and Protection in a University Setting,43
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,42
Surgical Device Development,36
Accelerators and Incubators,34
Overview of Device Development,34
Development Strategies for Animal Medical Therapeutics,33
The Promotion Process:  Academic Entrepreneurship Career Tracks,33
Reimbursement Strategies and CPT Codes for Device Development,28
Pediatric Medical Device Development Pathways,26
Equity Allocation in Startups,25
Department of Defense: SBIR/STTR Grants and Other Contracts,23
The Promotion Process: Academic Entrepreneurship Career Tracks,22
Strategic Planning and Costs of FDA Regulation,21
Building a Successful Startup Team,19
Working with the University Technology Transfer Office,18
Development of Radiographic Contrast Agents for Diagnostic Imaging,17
Negotiation Strategies,17
Overview of Drug Development,16
Digital Health: Software as a Medical Device,15
What is Academic Entrepreneurship?,14
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,13
Social Entrepreneurship in Healthcare,12
Resources at Academic Entrepreneurship Centers,9
I-Corps as a Training Tool for New Technology Development,9
Identifying Unmet Needs: Problems that Need Solutions,8
SBIR/STTR Grants: Introduction and Overview,8
Handling Disruptive Innovation in Clinical and Research Settings,7
Nonprofit and Foundation Sponsored Research: Developing New Models of Collaboration for Research and Development,6
Startup Company Formation and Management,6
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,6
Rapid Prototyping Strategies,5
Forming and Maintaining Meaningful Partnerships Between Academic Scientists and Corporations,4
Angel Investors,3
Careers in Academia and Industry: Transitions and Challenges,2
Seeking Venture Capital Investment,1
Marketing in an Academic Institution,1
Understanding Conflict of Interest for Academic Entrepreneurs,1
Conducting Insightful Market Research,1
Draft - Forming and Maintaining Meaningful Partnerships: Academic Scientists and Corporations,
Laws and Ethics in relation to Medical Entrepreneurship,
Clinical and Translational Science Awards,
Careers in Academia and Industry: Transitions and Challenges,
