Country,Downloads
United States,1298
India,96
United Kingdom,44
Canada,43
"Korea, Republic Of",25
Australia,22
Germany,20
Japan,18
Ireland,17
China,17
France,15
Switzerland,14
Netherlands,14
Singapore,12
Hong Kong,12
Spain,11
Russian Federation,10
South Africa,9
Philippines,9
Israel,8
Indonesia,6
Viet Nam,6
Kenya,6
Malaysia,5
Portugal,5
Poland,5
Italy,5
Taiwan,5
Pakistan,5
Ethiopia,4
Nigeria,4
Sweden,4
Thailand,4
Brazil,4
United Arab Emirates,3
Belgium,3
Estonia,3
Ghana,3
Iraq,3
"Iran, Islamic Republic Of",3
Slovenia,3
Turkey,3
Armenia,2
Czech Republic,2
Denmark,2
Hungary,2
Norway,2
Ukraine,2
Uganda,2
Zambia,2
Zimbabwe,2
Austria,2
Argentina,1
Burkina Faso,1
Bahrain,1
Chile,1
Colombia,1
Chad,1
Finland,1
Georgia,1
Greece,1
Honduras,1
Jamaica,1
Lebanon,1
Sri Lanka,1
Lithuania,1
Macao,1
Mauritius,1
Romania,1
Saudi Arabia,1
Sierra Leone,1
Egypt,1
