Article,Downloads
Orphan Drugs: Understanding the FDA Approval Process,13
Reimbursement Strategies and CPT Codes for Device Development,5
"FDA Device Regulation: 510(k), PMA",4
Innate Biases,4
Intellectual Property Protection for Biologics,3
Preclinical Animal Models,3
Writing Business Plans for a Life Science Startup or Clinical Program,2
Overview of Drug Development,2
The Promotion Process: Academic Entrepreneurship Career Tracks,1
Equity Allocation in Startups,1
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,1
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,1
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,1
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,1
SBIR/STTR Grants: Application Guidance,1
