Article,Downloads
Orphan Drugs: Understanding the FDA Approval Process,6
FDA Drug Regulation: Investigational New Drug Applications,2
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,2
"FDA Device Regulation: 510(k), PMA",2
Identifying Unmet Needs: Problems that Need Solutions,1
Accelerators and Incubators,1
Preclinical Animal Models,1
Innate Biases,1
Strategic Planning and Costs of FDA Regulation,1
Overview of Drug Development,1
Digital Health: Software as a Medical Device,1
Intellectual Property: Commercializing in a University Setting,1
