Article,Downloads
Orphan Drugs: Understanding the FDA Approval Process,15
Intellectual Property Protection for Biologics,11
Preclinical Animal Models,10
"FDA Device Regulation: 510(k), PMA",9
FDA Drug Regulation: Investigational New Drug Applications,9
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,9
Accelerators and Incubators,6
Writing Business Plans for a Life Science Startup or Clinical Program,6
Overview of Drug Development,5
Social Entrepreneurship in Healthcare,2
Intellectual Property: Commercializing in a University Setting,2
Equity Allocation in Startups,2
Development of Radiographic Contrast Agents for Diagnostic Imaging,2
Identifying Unmet Needs: Problems that Need Solutions,1
Building a Successful Startup Team,1
Working with the University Technology Transfer Office,1
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,1
Conducting Insightful Market Research,1
Innate Biases,1
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,1
Startup Company Formation and Management,1
