Name,Type,Downloads
University of Pennsylvania,Education,202
EVO Philadelphia,Education,54
"The Children's Hospital of Philadelphia",Education,9
University of California at Berkeley,Education,7
Penn Medicine,Education,6
Northwestern University,Education,5
Parklawn Computer Center/Dimes HQ,Government,5
General Electric Company,Commercial,4
University of Virginia,Education,3
University of Sydney,Education,3
Shearman & Sterling LLP,Commercial,3
Rexham Industries,Commercial,3
University of Wisconsin Madison,Education,2
Cornell University,Education,2
University of Cambridge,Education,2
University of Kentucky,Education,2
Temple University,Education,2
University of Illinois,Education,2
U.S. Center for Disease Control and Prevention,Government,2
Sungkyunkwan University,Education,2
Halliburton Company,Commercial,2
Boehringer Ingelheim Pharmaceuticals Inc.,Commercial,2
University Hospitals Health System,Education,2
International Livestock Research Institute,Organization,2
Shimadzu Corporation,Commercial,2
Sears Canada Inc.,Commercial,2
CJSC R-Pharm,Commercial,2
Muth Kommunikationstechnik GmbH,Commercial,2
Startspot Mediaworks Inc,Commercial,2
IPTelecom Vietnam,Commercial,2
Pfizer Inc.,Commercial,2
University of Texas at Austin,Education,1
The Johns Hopkins Medical Institutions,Education,1
Department of Veterans Affairs,Government,1
The University of Nottingham,Education,1
State University of New York at Stony Brook,Education,1
University of Maryland,Education,1
Arizona State University,Education,1
Universite Laval,Education,1
Massachusetts Institute of Technology,Education,1
Northern Arizona University,Education,1
Northeastern University,Education,1
University of Chicago,Education,1
Duke University,Education,1
National Institutes of Health,Government,1
University of New South Wales,Education,1
State of Minnesota,Government,1
University of British Columbia,Education,1
University of Texas at Dallas,Education,1
Johnson & Johnson,Commercial,1
Jones Day,Commercial,1
Stanford University,Education,1
Department of Homeland Security,Government,1
Florida International University,Education,1
University of Colorado,Education,1
University of Newcastle upon Tyne,Education,1
Paul Weiss Rifkind Wharton,Commercial,1
Lehigh University,Education,1
Province of British Columbia,Government,1
Morrison & Foerster,Commercial,1
Advanced Decision Systems,Commercial,1
UWA,Education,1
Medical College of Wisconsin,Education,1
University of Tehran Informatics Center,Education,1
Novartis,Commercial,1
Joan and Sanford I. Weill Medical College and Graduate School of Medical Sciences of Cornell University,Education,1
University of Akron,Education,1
HHL Handelshochschule Leipzig gGmbH,Commercial,1
Nvidia Corporation,Commercial,1
Lexis Nexis/Hosting Accounts,Commercial,1
University College Galway,Education,1
Stichting Duwo,Commercial,1
Indiana Wesleyan University,Education,1
NUS,Education,1
