Article,Downloads
Resources at Academic Entrepreneurship Centers,3
Identifying Unmet Needs: Problems that Need Solutions,3
Building a Successful Startup Team,3
The Promotion Process: Academic Entrepreneurship Career Tracks,3
What is Academic Entrepreneurship?,2
"FDA Device Regulation: 510(k), PMA",2
Development Strategies for Animal Medical Therapeutics,2
Intellectual Property: Ownership and Protection in a University Setting,2
Intellectual Property: Commercializing in a University Setting,2
FDA Drug Regulation: Investigational New Drug Applications,2
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,2
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,2
Surgical Device Development,2
Overview of Device Development,2
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,2
Preclinical Animal Models,2
Careers in Academia and Industry:  Transitions and Challenges,2
Orphan Drugs: Understanding the FDA Approval Process,1
Rapid Prototyping Strategies,1
Handling Disruptive Innovation in Clinical and Research Settings,1
Understanding Conflict of Interest for Academic Entrepreneurs,1
Reimbursement Strategies and CPT Codes for Device Development,1
Writing Business Plans for a Life Science Startup or Clinical Program,1
Seeking Venture Capital Investment,1
Intellectual Property Protection for Biologics,1
Social Entrepreneurship in Healthcare,1
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,1
Conducting Insightful Market Research,1
I-Corps as a Training Tool for New Technology Development,1
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,1
Innate Biases,1
Clinical and Translational Science Awards,1
Digital Health: Software as a Medical Device,1
