Article,Downloads
I-Corps as a Training Tool for New Technology Development,16
Building a Successful Startup Team,16
"FDA Device Regulation: 510(k), PMA",10
What is Academic Entrepreneurship?,10
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,10
Intellectual Property: Ownership and Protection in a University Setting,9
Writing Business Plans for a Life Science Startup or Clinical Program,8
Intellectual Property: Commercializing in a University Setting,7
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,7
Surgical Device Development,7
Overview of Device Development,6
Preclinical Animal Models,6
FDA Drug Regulation: Investigational New Drug Applications,6
Identifying Unmet Needs: Problems that Need Solutions,5
Development Strategies for Animal Medical Therapeutics,5
Orphan Drugs: Understanding the FDA Approval Process,5
Conducting Insightful Market Research,5
Resources at Academic Entrepreneurship Centers,5
The Promotion Process: Academic Entrepreneurship Career Tracks,4
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,4
Negotiation Strategies,4
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,4
Forming and Maintaining Meaningful Partnerships Between Academic Scientists and Corporations,3
Marketing in an Academic Institution,3
Seeking Venture Capital Investment,3
Innate Biases,3
Overview of Drug Development,3
Digital Health: Software as a Medical Device,3
Reimbursement Strategies and CPT Codes for Device Development,2
SBIR/STTR Grants: Application Guidance,2
Startup Company Formation and Management,2
Angel Investors,2
Careers in Academia and Industry: Transitions and Challenges,1
Rapid Prototyping Strategies,1
Social Entrepreneurship in Healthcare,1
Handling Disruptive Innovation in Clinical and Research Settings,1
Accelerators and Incubators,1
Understanding Conflict of Interest for Academic Entrepreneurs,1
Clinical and Translational Science Awards,1
Pediatric Medical Device Development Pathways,1
Equity Allocation in Startups,1
SBIR/STTR Grants: Introduction and Overview,1
Intellectual Property Protection for Biologics,1
Development of Radiographic Contrast Agents for Diagnostic Imaging,1
Department of Defense: SBIR/STTR Grants and Other Contracts,1
Nonprofit and Foundation Sponsored Research: Developing New Models of Collaboration for Research and Development,1
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,1
Strategic Planning and Costs of FDA Regulation,1
Working with the University Technology Transfer Office,1
