Referrer,Downloads
www.google.com/,688
repository.upenn.edu/ace/vol1/iss4/4/,38
repository.upenn.edu/ace/vol1/iss1/4/,38
repository.upenn.edu/ace/vol1/iss3/13/,32
repository.upenn.edu/ace/vol1/iss4/6/,30
repository.upenn.edu/ace/vol1/iss1/9/,30
repository.upenn.edu/ace/vol1/iss3/4/,29
repository.upenn.edu/ace/vol1/iss1/2/,26
scholar.google.com/,26
www.google.com/url,26
repository.upenn.edu/ace/vol1/iss2/2/,24
repository.upenn.edu/ace/vol1/iss4/1/,24
repository.upenn.edu/ace/vol1/iss3/15/,23
repository.upenn.edu/ace/vol1/iss3/19/,23
repository.upenn.edu/ace/vol1/iss3/10/,21
repository.upenn.edu/ace/vol1/iss5/6/,20
repository.upenn.edu/ace/vol1/iss4/5/,19
repository.upenn.edu/ace/vol1/iss3/1/,18
repository.upenn.edu/ace/vol1/iss3/18/,18
repository.upenn.edu/ace/vol1/iss3/7/,18
repository.upenn.edu/ace/vol1/iss5/4/,17
repository.upenn.edu/ace/vol1/iss3/5/,16
repository.upenn.edu/ace/vol1/iss3/17/,16
repository.upenn.edu/ace/vol1/iss3/20/,15
repository.upenn.edu/ace/vol1/iss5/10/,15
repository.upenn.edu/ace/vol1/iss3/3/,13
repository.upenn.edu/ace/vol1/iss4/3/,12
repository.upenn.edu/ace/vol1/iss3/11/,8
repository.upenn.edu/ace/vol1/iss1/,8
repository.upenn.edu/ace/vol1/iss2/6/,8
repository.upenn.edu/ace/vol1/iss1/7/,8
repository.upenn.edu/ace/vol1/iss3/9/,7
repository.upenn.edu/ace/vol1/iss1/3/,7
repository.upenn.edu/ace/vol1/iss1/6/,7
repository.upenn.edu/ace/vol1/iss1/8/,7
www.google.ca/,6
repository.upenn.edu/ace/vol1/iss4/,6
repository.upenn.edu/ace/vol1/iss4/2/,6
www.google.co.uk/,6
www.google.co.in/,5
www.google.com.hk/,5
repository.upenn.edu/ace/vol1/iss5/,5
repository.upenn.edu/ace/vol1/iss3/16/,5
repository.upenn.edu/ace/vol1/iss2/4/,5
cn.bing.com/,4
www.bing.com/,4
www.google.ie/,4
repository.upenn.edu/ace/vol1/iss2/5/,4
repository.upenn.edu/ace/vol1/iss1/5/,4
repository.upenn.edu/ace/vol1/iss5/3/,4
duckduckgo.com/,4
repository.upenn.edu/ace/vol1/iss2/10/,4
repository.upenn.edu/ace/vol1/iss2/7/,3
repository.upenn.edu/ace/vol1/iss3/2/,3
repository.upenn.edu/ace/vol1/iss3/8/,3
mail.google.com/mail/u/0/,3
repository.upenn.edu/ace/vol1/iss5/1/,3
www.upenn.edu/searchdir,3
repository.upenn.edu/do/search/,3
www.google.ch/,2
repository.upenn.edu/ace/vol1/iss2/1/,2
repository.upenn.edu/ace/vol1/iss3/6/,2
www.google.es/,2
www.google.ru/,2
www.google.com.tw/,2
www.google.com.sg/,2
www.google.co.jp/url,2
repository.upenn.edu/ace/vol1/iss2/8/,2
repository.upenn.edu/ace/topdownloads.html,2
repository.upenn.edu/ace/vol1/iss2/9/,2
repository.upenn.edu/,2
m.instasrch.com/search/gcse,2
repository.upenn.edu/ace/vol1/iss3/12/,2
repository.upenn.edu/ace/vol1/iss5/5/,2
repository.upenn.edu/ace/vol1/iss3/14/,2
repository.upenn.edu/ace/vol1/iss5/9/,2
scholar.google.co.kr/,2
scholar.google.co.uk/,2
scholar.google.de/,2
scholar.google.nl/,2
scholar.google.se/,2
https%3A%2F%2Fscholar.google.com%2Fscholar%3Fhl%3Den%26as_sdt%3D0%252C33%26as_ylo%3D2016%26as_vis%3D1%26q%3Dsocial%2Bentrepreneurship%2Bhealthcare%26oq%3Dsocial%2Bentrepreneurship%2Bhea,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dhow%2Blong%2Bbetween%2Borphan%2Bdrug%2Bstatus%2Band%2Bapproval%26src%3DIE-SearchBox%26FORM%3DIESR3A,1
r.search.yahoo.com/_ylt=AwrEwhVDOnleBaMA.jRx.9w4;_ylu=X3oDMTBybGY3bmpvBGNvbG8DYmYxBHBvcwMyBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1585031875/RO=10/RU=https%3a%2f%2frepository.upenn.edu%2fcgi%2fviewcontent.cgi%3farticle%3d1037%26context%3dace/RK=2/RS=S9nRiC.r1CpKWZrVP5DpCUkPrZI-,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dfda%2Bregulation%2Bind%2Borphan%26qs%3Dn%26sp%3D-1%26pq%3Dfda%2Bregulation%2Bind%2Borphan%26sc%3D0-25%26sk%3D%26cvid%3DCDC880EDF2414841A10CA0D1FCB1FB89%26first%3D11%26FORM%3DPERE,1
r.search.yahoo.com/_ylt=Awrx5R0.A2deACkAjQbZjSM5;_ylu=X3oDMTByaW0wdmlxBGNvbG8Dc2czBHBvcwMyBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1583838142/RO=10/RU=https%3a%2f%2frepository.upenn.edu%2fcgi%2fviewcontent.cgi%3farticle%3d1037%26context%3dace/RK=2/RS=Lu2Sc3RkZDcqCxdzv8wd2An1VPg-,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dfda%2Borphan%2Bind%2B%26qs%3Dn%26form%3DQBRE%26sp%3D-1%26pq%3Dfda%2Borphan%2Bind%2B%26sc%3D0-15%26sk%3D%26cvid%3D37C6347A89734B4F8FCE63BC4492FE7F,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dfda%2Borphan%2Bdrug%2Bguidance%26qs%3Dn%26sp%3D-1%26pq%3Dfda%2Borphan%2Bdrug%2Bguidanc%26sc%3D0-23%26sk%3D%26cvid%3DCFD906368F384121A6CE47053AC91631%26first%3D11%26FORM%3DPERE,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dfda%2520approval%2520process%2520for%2520orphan%2520drug%26qs%3Dn%26form%3DQBRE%26sp%3D-1%26pq%3Dfda%2520approval%2520process%2520for%2520orphan%2520drug%26sc%3D1-36%26sk%3D%26cvid%3D9C399DD51DF1497A8D85BCDFC2FEC67D,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3DFDA%2Borphan%2Bdrug%26src%3DIE-SearchBox%26FORM%3DIESR4N,1
https%3A%2F%2Fscholar.google.com%2Fscholar%3Fhl%3Den%26as_sdt%3D0%252C9%26as_ylo%3D2016%26q%3Dhuman%2Bcentered%2Bdesign%26btnG%3D%26oq%3Dhum,1
repository.upenn.edu,1
https%3A%2F%2Fscholar.google.com%2Fscholar%3Fhl%3Den%26as_sdt%3D0%252C5%26as_ylo%3D2016%26q%3Dscience%2Bstartup%26btnG%3D,1
repository.upenn.edu/ace/vol1/iss3/21/,1
m.facebook.com/,1
https%3A%2F%2Fscholar.google.com%2Fscholar%3Fas_ylo%3D2016%26q%3Dentrepreneurship%2Band%2Bhealthcare%26hl%3Den%26as_sdt%3D0%2C44%26as_vis%3D1,1
https%3A%2F%2Fscholar.google.com%2Fscholar%3Fas_ylo%3D2016%26q%3DHuman%2Bcentered%2Bdesign%26hl%3Den%26as_sdt%3D0%2C21%26as_vis%3D1,1
int.search.myway.com/search/GGmain.jhtml,1
goo.gle.workers.dev/,1
https%3A%2F%2Fwww.google.com%2Furl%3Fq%3Dhttps%3A%2F%2Frepository.upenn.edu%2Fcgi%2Fviewcontent.cgi%3Farticle%253D1056%2526context%253Dace%26sa%3DD%26ust%3D1583363649337000%26usg%3DAFQjCNGGy3b1g20csi91fmCZPyVqFtYMnQ,1
email.nhs.net/owa/,1
https%3A%2F%2Fwww.google.com%2Fsearch%3Fq%3Dorphan%2Bdrug%2Bapproval%2Btimeline%26oq%3Dorphan%2Bdrug%2Bappr%26gs_l%3Dmobile-heirloom-hp.1.2.0l5.2761.24569.0.26870.23.14.0.7.7.1.243.2175.3j7j4.14.2772....0...1c.1j5.34.mobile-heirloom-hp..5.18.1885.l4kAb5rUGIk,1
https%3A%2F%2Fwww.google.com%2Fsearch%3Fq%3Dinnate%2520bias%26ie%3Dutf-8%26oe%3Dutf-8%26client%3Dfirefox-b-1-m,1
https%3A%2F%2Fwww.google.co.id%2Fsearch%3Fq%3Dpreclinical%2Bmodels%2Bfor%2Banimal%26client%3Ducweb-b%26channel%3Dsb,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dwhat%2Bis%2Binnate%2Bbiases%26qs%3DAS%26pq%3Dwhat%2Bis%2Binnate%2Bbi%26sc%3D8-17%26cvid%3DA0CEF0F053F847A88CC49EF1F61AE9E9%26FORM%3DQBRE%26sp%3D1,1
