Title,Downloads
Orphan Drugs: Understanding the FDA Approval Process,285
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,138
"FDA Device Regulation: 510(k), PMA",135
Intellectual Property Protection for Biologics,92
Preclinical Animal Models,83
FDA Drug Regulation: Investigational New Drug Applications,81
SBIR/STTR Grants: Application Guidance,78
Writing Business Plans for a Life Science Startup or Clinical Program,78
Innate Biases,57
Reimbursement Strategies and CPT Codes for Device Development,46
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,44
Building a Successful Startup Team,43
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,41
Conducting Insightful Market Research,40
Identifying Unmet Needs: Problems that Need Solutions,37
Intellectual Property: Commercializing in a University Setting,36
I-Corps as a Training Tool for New Technology Development,35
Overview of Drug Development,34
Digital Health: Software as a Medical Device,34
Accelerators and Incubators,33
Negotiation Strategies,33
What is Academic Entrepreneurship?,29
Equity Allocation in Startups,24
Laws and Ethics in relation to Medical Entrepreneurship,23
Overview of Device Development,22
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,22
Social Entrepreneurship in Healthcare,20
The Promotion Process: Academic Entrepreneurship Career Tracks,20
Startup Company Formation and Management,19
Resources at Academic Entrepreneurship Centers,19
Intellectual Property: Ownership and Protection in a University Setting,19
Surgical Device Development,18
Working with the University Technology Transfer Office,17
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,15
Strategic Planning and Costs of FDA Regulation,13
Department of Defense: SBIR/STTR Grants and Other Contracts,13
Development of Radiographic Contrast Agents for Diagnostic Imaging,13
Development Strategies for Animal Medical Therapeutics,13
Seeking Venture Capital Investment,11
SBIR/STTR Grants: Introduction and Overview,10
Forming and Maintaining Meaningful Partnerships Between Academic Scientists and Corporations,8
Handling Disruptive Innovation in Clinical and Research Settings,8
Pediatric Medical Device Development Pathways,8
Angel Investors,7
Rapid Prototyping Strategies,7
Marketing in an Academic Institution,7
Careers in Academia and Industry: Transitions and Challenges,6
Nonprofit and Foundation Sponsored Research: Developing New Models of Collaboration for Research and Development,4
Understanding Conflict of Interest for Academic Entrepreneurs,3
Clinical and Translational Science Awards,3
Careers in Academia and Industry:  Transitions and Challenges,2
Draft - Forming and Maintaining Meaningful Partnerships: Academic Scientists and Corporations,
The Promotion Process:  Academic Entrepreneurship Career Tracks,
Careers in Academia and Industry: Transitions and Challenges,
