Country,Downloads
United States,1123
India,131
United Kingdom,81
Canada,43
Australia,33
Germany,28
China,26
Romania,24
Ireland,21
Taiwan,18
Switzerland,15
"Korea, Republic Of",15
France,14
Malaysia,14
Netherlands,13
Brazil,13
Israel,12
Spain,11
Hong Kong,11
South Africa,11
Singapore,10
Belgium,9
Denmark,8
Nigeria,8
Italy,8
Saudi Arabia,7
Kenya,7
Japan,6
Pakistan,6
Chile,6
Indonesia,5
Egypt,5
Nepal,5
New Zealand,5
Russian Federation,5
Thailand,5
Ukraine,5
"Iran, Islamic Republic Of",5
Colombia,4
Luxembourg,4
Philippines,4
Portugal,4
Sweden,4
Iraq,3
Kazakhstan,3
Slovenia,3
Turkey,3
Poland,3
Morocco,2
Bulgaria,2
Algeria,2
Ghana,2
Bangladesh,2
Hungary,2
Czech Republic,2
"Macedonia, The Former Yugoslav Republic Of",2
Myanmar,2
Norway,2
Uganda,2
Viet Nam,2
Croatia,2
United Arab Emirates,1
Armenia,1
Zambia,1
Austria,1
Cyprus,1
Estonia,1
Ethiopia,1
Finland,1
Jamaica,1
Jordan,1
Cambodia,1
Sri Lanka,1
Lithuania,1
Moldova,1
Malawi,1
Mexico,1
Peru,1
Puerto Rico,1
Serbia,1
Sierra Leone,1
Chad,1
"Tanzania, United Republic Of",1
Argentina,1
