Article,Downloads
Writing Business Plans for a Life Science Startup or Clinical Program,15
"FDA Device Regulation: 510(k), PMA",10
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,7
Preclinical Animal Models,7
Development of Radiographic Contrast Agents for Diagnostic Imaging,6
Orphan Drugs: Understanding the FDA Approval Process,6
Innate Biases,6
Intellectual Property Protection for Biologics,4
Accelerators and Incubators,3
Reimbursement Strategies and CPT Codes for Device Development,3
Overview of Drug Development,3
FDA Drug Regulation: Investigational New Drug Applications,2
SBIR/STTR Grants: Application Guidance,2
Digital Health: Software as a Medical Device,2
Identifying Unmet Needs: Problems that Need Solutions,1
Working with the University Technology Transfer Office,1
Pediatric Medical Device Development Pathways,1
Equity Allocation in Startups,1
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,1
