Article,Downloads
Orphan Drugs: Understanding the FDA Approval Process,159
SBIR/STTR Grants: Application Guidance,104
Innate Biases,72
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,69
Reimbursement Strategies and CPT Codes for Device Development,67
"FDA Device Regulation: 510(k), PMA",62
Intellectual Property Protection for Biologics,60
FDA Drug Regulation: Investigational New Drug Applications,49
Startup Company Formation and Management,46
Preclinical Animal Models,33
Rapid Prototyping Strategies,32
Writing Business Plans for a Life Science Startup or Clinical Program,29
Seeking Venture Capital Investment,28
Accelerators and Incubators,27
Laws and Ethics in relation to Medical Entrepreneurship,27
Social Entrepreneurship in Healthcare,25
Overview of Drug Development,24
Understanding Conflict of Interest for Academic Entrepreneurs,20
Working with the University Technology Transfer Office,16
Equity Allocation in Startups,15
Strategic Planning and Costs of FDA Regulation,13
Identifying Unmet Needs: Problems that Need Solutions,12
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,12
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,10
SBIR/STTR Grants: Introduction and Overview,9
Development of Radiographic Contrast Agents for Diagnostic Imaging,9
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,9
Digital Health: Software as a Medical Device,9
Intellectual Property: Commercializing in a University Setting,8
Building a Successful Startup Team,7
Department of Defense: SBIR/STTR Grants and Other Contracts,7
Clinical and Translational Science Awards,7
What is Academic Entrepreneurship?,7
Angel Investors,5
I-Corps as a Training Tool for New Technology Development,5
Intellectual Property: Ownership and Protection in a University Setting,4
Conducting Insightful Market Research,4
Negotiation Strategies,3
Surgical Device Development,3
Overview of Device Development,3
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,3
Forming and Maintaining Meaningful Partnerships Between Academic Scientists and Corporations,2
Pediatric Medical Device Development Pathways,2
Nonprofit and Foundation Sponsored Research: Developing New Models of Collaboration for Research and Development,2
The Promotion Process: Academic Entrepreneurship Career Tracks,1
Marketing in an Academic Institution,1
Handling Disruptive Innovation in Clinical and Research Settings,1
Development Strategies for Animal Medical Therapeutics,1
