Name,Type,Downloads
University of Pennsylvania,Education,12
"The Children's Hospital of Philadelphia",Education,8
Penn Medicine,Education,8
Halliburton Company,Commercial,5
Parklawn Computer Center/Dimes HQ,Government,5
Vainavi Industries Ltd.,Commercial,4
Symantec Corporation,Commercial,4
The Johns Hopkins Medical Institutions,Education,3
Novartis,Commercial,3
H. Lee Moffitt Cancer Center & Research Institute Inc.,Organization,3
406 A Road No-18 Jubilee Hills,Commercial,3
National Institutes of Health,Government,2
The University of Texas Health Science Center at Houston,Education,2
Partners Healthcare System Inc.,Organization,2
UWA,Education,2
Pfizer Inc.,Commercial,2
Dana-Farber Cancer Institute,Organization,2
Amgen Inc.,Commercial,2
Hong Kong University of Science and Technology,Education,2
Boehringer Ingelheim Pharmaceuticals Inc.,Commercial,2
Brice Parker Consultants,Commercial,2
HTC - Wampee Cable Modem,Commercial,2
Fibersphere Communications,Commercial,2
Extreme Arena Private Limited,Commercial,2
Aluminiere Lauralco,Commercial,2
ICT Center of the Republic of Tatarstan Public Enterprise,Commercial,2
Birmingham-Southern College,Education,2
University of Michigan Medical Center,Education,1
Universidade de Sao Paulo,Education,1
University of Florida,Education,1
Sidley and Austin,Commercial,1
Yale University,Education,1
University of California San Francisco,Education,1
Mayo Foundation for Medical Education and Research,Education,1
Massachusetts Institute of Technology,Education,1
University of the Western Cape,Education,1
University of Rochester,Education,1
Indian Health Service,Government,1
The George Washington University,Education,1
Universiteit Twente,Education,1
University of Montana,Education,1
University of Southern California,Education,1
Jones Day,Commercial,1
University of California at Berkeley,Education,1
Covington & Burling LLP,Commercial,1
Medical College of Wisconsin,Education,1
Bayer Corporation,Commercial,1
Korea University,Education,1
"Texas Children's Hospital",Organization,1
Digiweb Ltd.,Commercial,1
General Electric Company,Commercial,1
BT Americas Inc,Commercial,1
Cambrium IT Services B.V.,Commercial,1
Seoul National University,Education,1
Express Scripts Incorporated,Commercial,1
A.G. Edwards & Sons Inc.,Commercial,1
WU (Wirtschaftsuniversitaet Wien) - Vienna University of Economics and Business,Education,1
Skadden ARPS Slate Meagher & Flom,Commercial,1
Monash University,Education,1
Peking University New Campu Network,Education,1
NTU,Education,1
Naresuan University,Education,1
Novia Corp.,Commercial,1
Sanofi Aventis Group SA,Commercial,1
NNIT A/S,Commercial,1
Gandhinagar Zone,Commercial,1
Jerusalem College of Technology,Education,1
Millennium Pharmaceuticals Inc.,Commercial,1
U.S. Dept. of Health & Human Service/Office of Inspector General,Government,1
CareFusion Corporation,Commercial,1
MKB,Commercial,1
Greater Baltimore Medical Center,Organization,1
Westminster House,Commercial,1
Internet Services Inc,Commercial,1
This Assignment is Made to the College of Medicine a Constituent College of the University of Malawi,Education,1
FreiNet Gesellschaft fuer Informationsdienste mbH,Commercial,1
Eidgenossisches Institut fuer Geistiges Eigentum,Commercial,1
Omnova Solutions Inc,Commercial,1
Millicom Chad SA,Commercial,1
Relypsa Inc,Commercial,1
Oklahoma Heart Hospital,Commercial,1
TEL Aviv University,Education,1
Investec,Commercial,1
Netjacarei Telecon Ltda,Commercial,1
STAY Copenhagen,Commercial,1
Hospital,Commercial,1
Meridian 1201 Management LLC,Commercial,1
L.E.K. Consulting LLC,Commercial,1
Abbvie,Commercial,1
Smith and Nephew - Endoscopy,Commercial,1
Kolokacije,Commercial,1
IT Systemer as Drammensveien 41 0271Oslo,Commercial,1
Cooperative de la Tele Communautaire de Fermont,Commercial,1
Zapbytes Technologies Pvt. Ltd.,Commercial,1
GVS Networks,Commercial,1
Blue Lotus Support Services Pvt Ltd,Commercial,1
Wananchi Group (Kenya) Limited,Commercial,1
LLC Shah Communications,Commercial,1
Queensland University of Technology,Education,1
Shanghai Futures Information Technology Co. Ltd.,Commercial,1
GlaxoSmithKline PLC,Commercial,1
Bank Degroof Petercam SA,Commercial,1
Die Schweizerische Post AG,Commercial,1
GMO-Z.com Runsystem Joint Stock Company,Commercial,1
LK Ludwigsburg Enzkreis VLAN,Commercial,1
Tata Sky Broadband Private Limited,Commercial,1
Fibernet Direct,Commercial,1
Arnold & Porter Kaye Scholer LLP,Commercial,1
Powerbridge Holding B.V.,Commercial,1
PCCW IMS Ltd,Commercial,1
SPNet Pon NDK,Commercial,1
Finnegan Henderson Farabow Garrett & Dunner LLP,Commercial,1
Quintiles Limited,Commercial,1
Tejasri communications,Commercial,1
William Gemmill,Commercial,1
Apotex Inc,Commercial,1
Netcenter Telecom,Commercial,1
OpenServ IPC National,Commercial,1
tvconline.net Freedom Wireless,Education,1
CSH LLC,Commercial,1
Australia,Commercial,1
Dreamweavers IT Services,Commercial,1
Altnet s.r.o.,Commercial,1
Cyient Limited,Commercial,1
