Referrer,Downloads
www.google.com/,1019
repository.upenn.edu/ace/vol1/iss2/6/,29
scholar.google.com/,28
repository.upenn.edu/ace/vol1/iss2/10/,28
repository.upenn.edu/ace/vol1/iss4/2/,28
repository.upenn.edu/ace/vol1/iss4/3/,27
repository.upenn.edu/ace/vol1/iss3/9/,27
repository.upenn.edu/ace/vol1/iss1/8/,23
repository.upenn.edu/ace/vol1/iss3/21/,21
repository.upenn.edu/ace/vol1/iss3/2/,20
www.google.com/url,15
repository.upenn.edu/ace/vol1/iss3/13/,12
repository.upenn.edu/ace/vol1/iss3/4/,11
repository.upenn.edu/do/search/,9
repository.upenn.edu/ace/vol1/iss2/2/,9
www.google.co.uk/,9
repository.upenn.edu/ace/vol1/iss1/,8
repository.upenn.edu/ace/vol1/iss3/19/,7
repository.upenn.edu/ace/vol1/iss4/,7
repository.upenn.edu/ace/vol1/iss4/5/,6
repository.upenn.edu/ace/vol1/iss5/5/,6
www.google.com.au/,6
www.bing.com/,5
www.google.co.in/,5
repository.upenn.edu/ace/vol1/iss2/3/,5
repository.upenn.edu/ace/vol1/iss1/4/,5
www.google.fr/,5
www.google.ca/,4
repository.upenn.edu/ace/vol1/iss4/6/,4
repository.upenn.edu/ace/vol1/iss2/8/,4
repository.upenn.edu/ace/vol1/iss3/1/,4
repository.upenn.edu/ace/vol1/iss3/6/,4
repository.upenn.edu/ace/vol1/iss1/2/,4
repository.upenn.edu/ace/vol1/iss1/7/,4
repository.upenn.edu/ace/vol1/iss4/1/,4
www.google.com.tw/,4
repository.upenn.edu/ace/vol1/iss3/10/,3
repository.upenn.edu/ace/vol1/iss3/17/,3
repository.upenn.edu/ace/vol1/iss4/4/,3
www.ecosia.org/,3
repository.upenn.edu/ace/vol1/iss2/5/,3
www.google.de/,3
www.google.ie/,3
repository.upenn.edu/ace/vol1/iss3/15/,3
www.google.co.nz/,3
repository.upenn.edu/ace/vol1/iss2/4/,3
repository.upenn.edu/ace/vol1/iss3/11/,2
repository.upenn.edu/ace/vol1/iss3/16/,2
repository.upenn.edu/ace/vol1/iss2/1/,2
repository.upenn.edu/ace/vol1/iss5/3/,2
repository.upenn.edu/ace/vol1/iss5/6/,2
scholar.google.com.br/,2
www.google.co.kr/,2
cn.bing.com/,2
www.google.com.hk/,2
www.google.com.tr/,2
www.upenn.edu/searchdir,2
repository.upenn.edu/ace/vol1/iss2/7/,2
