Title,Downloads
Orphan Drugs: Understanding the FDA Approval Process,265
Intellectual Property Protection for Biologics,118
Writing Business Plans for a Life Science Startup or Clinical Program,117
SBIR/STTR Grants: Application Guidance,116
Innate Biases,115
"FDA Device Regulation: 510(k), PMA",108
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,98
Preclinical Animal Models,94
Reimbursement Strategies and CPT Codes for Device Development,91
FDA Drug Regulation: Investigational New Drug Applications,88
Accelerators and Incubators,58
Startup Company Formation and Management,50
Overview of Drug Development,48
Social Entrepreneurship in Healthcare,43
Rapid Prototyping Strategies,33
Seeking Venture Capital Investment,31
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,30
Working with the University Technology Transfer Office,29
Laws and Ethics in relation to Medical Entrepreneurship,29
Development of Radiographic Contrast Agents for Diagnostic Imaging,28
Equity Allocation in Startups,27
Strategic Planning and Costs of FDA Regulation,24
Understanding Conflict of Interest for Academic Entrepreneurs,21
Identifying Unmet Needs: Problems that Need Solutions,21
Intellectual Property: Commercializing in a University Setting,19
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,17
Building a Successful Startup Team,14
Digital Health: Software as a Medical Device,14
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,12
SBIR/STTR Grants: Introduction and Overview,11
Pediatric Medical Device Development Pathways,11
Department of Defense: SBIR/STTR Grants and Other Contracts,9
Intellectual Property: Ownership and Protection in a University Setting,8
Angel Investors,8
Clinical and Translational Science Awards,8
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,7
What is Academic Entrepreneurship?,7
I-Corps as a Training Tool for New Technology Development,6
Conducting Insightful Market Research,5
Overview of Device Development,4
Negotiation Strategies,4
Nonprofit and Foundation Sponsored Research: Developing New Models of Collaboration for Research and Development,4
Surgical Device Development,4
Resources at Academic Entrepreneurship Centers,4
Development Strategies for Animal Medical Therapeutics,3
Handling Disruptive Innovation in Clinical and Research Settings,2
The Promotion Process: Academic Entrepreneurship Career Tracks,2
Careers in Academia and Industry: Transitions and Challenges,2
Forming and Maintaining Meaningful Partnerships Between Academic Scientists and Corporations,2
Marketing in an Academic Institution,1
Careers in Academia and Industry: Transitions and Challenges,
Draft - Forming and Maintaining Meaningful Partnerships: Academic Scientists and Corporations,
The Promotion Process:  Academic Entrepreneurship Career Tracks,
Careers in Academia and Industry:  Transitions and Challenges,
