Cumulative Downloads Over Time
,Downloads
Oct 2019,569
Nov 2019,1018
Dec 2019,1423
Jan 2020,2525
Feb 2020,4047
Mar 2020,5933

Non Cumulative Downloads Over Time
,Downloads
Oct 2019,569
Nov 2019,449
Dec 2019,405
Jan 2020,1102
Feb 2020,1522
Mar 2020,1886

NonCumulative Downloads by Country Over Time
,United States,India,Canada,United Kingdom,Germany,Other
Oct 2019,292,9,66,13,9,180
Nov 2019,242,11,6,19,13,156
Dec 2019,179,13,9,11,13,144
Jan 2020,664,47,15,22,19,193
Feb 2020,1134,59,25,33,18,241
Mar 2020,1298,96,43,44,20,345

Cumulative Downloads by Country Over Time
,United States,India,Canada,United Kingdom,Germany,Other
Oct 2019,292,9,66,13,9,180
Nov 2019,534,20,72,32,22,336
Dec 2019,713,33,81,43,35,480
Jan 2020,1377,80,96,65,54,673
Feb 2020,2511,139,121,98,72,914
Mar 2020,3809,235,164,142,92,1259

Cumulative Downloads by Country Over Time (Stacked)
,United States,India,Canada,United Kingdom,Germany,Other
Oct 2019,292,301,367,380,389,569
Nov 2019,534,554,626,658,680,1016
Dec 2019,713,746,827,870,905,1385
Jan 2020,1377,1457,1553,1618,1672,2345
Feb 2020,2511,2650,2771,2869,2941,3855
Mar 2020,3809,4044,4208,4350,4442,5701

NonCumulative Downloads by Country Over Time (%)
,United States,India,Canada,United Kingdom,Germany,Other
Oct 2019,0.5131810193321616,0.015817223198594025,0.11599297012302284,0.022847100175746926,0.015817223198594025,0.3163444639718805
Nov 2019,0.5413870246085011,0.024608501118568233,0.013422818791946308,0.042505592841163314,0.029082774049217,0.348993288590604
Dec 2019,0.48509485094850946,0.03523035230352303,0.024390243902439025,0.02981029810298103,0.03523035230352303,0.3902439024390244
Jan 2020,0.6916666666666667,0.04895833333333333,0.015625,0.022916666666666665,0.019791666666666666,0.20104166666666667
Feb 2020,0.7509933774834437,0.0390728476821192,0.016556291390728478,0.02185430463576159,0.011920529801324504,0.15960264900662252
Mar 2020,0.7031419284940412,0.05200433369447454,0.023293607800650054,0.023835319609967497,0.010834236186348862,0.18689057421451788

NonCumulative Downloads by Institution Over Time
,University of Pennsylvania,The Children's Hospital of Philadelphia,EVO Philadelphia,Penn Medicine,W/Soddo University,Other
Oct 2019,22,30,0,22,36,133
Nov 2019,16,28,0,4,0,101
Dec 2019,11,19,0,3,0,67
Jan 2020,128,33,17,16,0,173
Feb 2020,250,13,45,32,0,223
Mar 2020,202,9,54,6,0,200

Cumulative Downloads by Institution Over Time
,University of Pennsylvania,The Children's Hospital of Philadelphia,EVO Philadelphia,Penn Medicine,W/Soddo University,Other
Oct 2019,22,30,0,22,36,133
Nov 2019,38,58,0,26,36,234
Dec 2019,49,77,0,29,36,301
Jan 2020,177,110,17,45,36,474
Feb 2020,427,123,62,77,36,697
Mar 2020,629,132,116,83,36,897

Cumulative Downloads by Institution Over Time (Stacked)
,University of Pennsylvania,The Children's Hospital of Philadelphia,EVO Philadelphia,Penn Medicine,W/Soddo University,Other
Oct 2019,22,52,52,74,110,243
Nov 2019,38,96,96,122,158,392
Dec 2019,49,126,126,155,191,492
Jan 2020,177,287,304,349,385,859
Feb 2020,427,550,612,689,725,1422
Mar 2020,629,761,877,960,996,1893

NonCumulative Downloads by CHOP Affiliates Over Time
,The Children's Hospital of Philadelphia,Penn Medicine,University of Pennsylvania,Other
Oct 2019,30,22,22,495
Nov 2019,28,4,16,401
Dec 2019,19,3,11,372
Jan 2020,33,16,128,925
Feb 2020,13,32,250,1227
Mar 2020,9,6,202,1669

Cumulative Downloads by CHOP Affiliates Over Time
,The Children's Hospital of Philadelphia,Penn Medicine,University of Pennsylvania,Other
Oct 2019,30,22,22,495
Nov 2019,58,26,38,896
Dec 2019,77,29,49,1268
Jan 2020,110,45,177,2193
Feb 2020,123,77,427,3420
Mar 2020,132,83,629,5089

Cumulative Downloads by CHOP Affiliates Over Time (Stacked)
,The Children's Hospital of Philadelphia,Penn Medicine,University of Pennsylvania,Other
Oct 2019,30,52,74,569
Nov 2019,58,84,122,1018
Dec 2019,77,106,155,1423
Jan 2020,110,155,332,2525
Feb 2020,123,200,627,4047
Mar 2020,132,215,844,5933

Downloads by CHOP Affiliates Over Time (%)
,The Children's Hospital of Philadelphia,Penn Medicine,University of Pennsylvania,Other
Oct 2019,0.05272407732864675,0.03866432337434095,0.03866432337434095,0.8699472759226714
Nov 2019,0.062360801781737196,0.008908685968819599,0.035634743875278395,0.8930957683741648
Dec 2019,0.04691358024691358,0.007407407407407408,0.027160493827160494,0.9185185185185185
Jan 2020,0.029945553539019964,0.014519056261343012,0.1161524500907441,0.8393829401088929
Feb 2020,0.008541392904073587,0.02102496714848883,0.164257555847569,0.8061760840998686
Mar 2020,0.004772004241781549,0.003181336161187699,0.1071049840933192,0.8849416755037116

NonCumulative Downloads by CHOP Affiliates (vs Education) Over Time
,The Children's Hospital of Philadelphia,Penn Medicine,University of Pennsylvania,Other
Oct 2019,30,22,22,115
Nov 2019,28,4,16,50
Dec 2019,19,3,11,30
Jan 2020,33,16,128,86
Feb 2020,13,32,250,136
Mar 2020,9,6,202,132

Cumulative Downloads by CHOP Affiliates (vs Education) Over Time
,The Children's Hospital of Philadelphia,Penn Medicine,University of Pennsylvania,Other
Oct 2019,30,22,22,115
Nov 2019,58,26,38,165
Dec 2019,77,29,49,195
Jan 2020,110,45,177,281
Feb 2020,123,77,427,417
Mar 2020,132,83,629,549

Cumulative Downloads by CHOP Affiliates (vs Education) Over Time (Stacked)
,The Children's Hospital of Philadelphia,Penn Medicine,University of Pennsylvania,Other
Oct 2019,30,52,74,189
Nov 2019,58,84,122,287
Dec 2019,77,106,155,350
Jan 2020,110,155,332,613
Feb 2020,123,200,627,1044
Mar 2020,132,215,844,1393

Downloads by CHOP Affiliates (vs Education) Over Time (%)
,The Children's Hospital of Philadelphia,Penn Medicine,University of Pennsylvania,Other
Oct 2019,0.15873015873015872,0.1164021164021164,0.1164021164021164,0.6084656084656085
Nov 2019,0.2857142857142857,0.04081632653061224,0.16326530612244897,0.5102040816326531
Dec 2019,0.30158730158730157,0.047619047619047616,0.1746031746031746,0.47619047619047616
Jan 2020,0.12547528517110265,0.060836501901140684,0.4866920152091255,0.3269961977186312
Feb 2020,0.030162412993039442,0.07424593967517401,0.580046403712297,0.31554524361948955
Mar 2020,0.025787965616045846,0.017191977077363897,0.5787965616045845,0.37822349570200575

NonCumulative Downloads (Inst vs NonInst) Over Time
,Institutional,NonInstitutional,All
Oct 2019,243,326,569
Nov 2019,149,300,449
Dec 2019,100,305,405
Jan 2020,367,735,1102
Feb 2020,563,959,1522
Mar 2020,471,1415,1886

Cumulative Downloads (Inst vs NonInst) Over Time
,Institutional,NonInstitutional,All
Oct 2019,243,326,569
Nov 2019,392,626,1018
Dec 2019,492,931,1423
Jan 2020,859,1666,2525
Feb 2020,1422,2625,4047
Mar 2020,1893,4040,5933

Cumulative Downloads (Inst vs NonInst) Over Time (Stacked)
,Institutional,NonInstitutional,All
Oct 2019,243,569,1138
Nov 2019,392,1018,2036
Dec 2019,492,1423,2846
Jan 2020,859,2525,5050
Feb 2020,1422,4047,8094
Mar 2020,1893,5933,11866

NonCumulative Downloads by Institution Type Over Time
,Education,Government,Organization,Commercial,Military,Library
Oct 2019,189,17,7,29,1,0
Nov 2019,98,7,12,31,1,0
Dec 2019,63,3,1,32,0,1
Jan 2020,263,12,9,82,1,0
Feb 2020,431,15,11,100,3,3
Mar 2020,349,16,12,93,0,1

NonCumulative Downloads by Institution Type Over Time (%)
,Education,Government,Organization,Commercial,Military,Library
Oct 2019,0.7777777777777778,0.06995884773662552,0.02880658436213992,0.11934156378600823,0.00411522633744856,0.0
Nov 2019,0.6577181208053692,0.04697986577181208,0.08053691275167785,0.2080536912751678,0.006711409395973154,0.0
Dec 2019,0.63,0.03,0.01,0.32,0.0,0.01
Jan 2020,0.7166212534059946,0.0326975476839237,0.02452316076294278,0.22343324250681199,0.0027247956403269754,0.0
