Title,Section,,,,
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,People,,,,
Accelerators and Incubators,Finance,,,,
Angel Investors,Finance,,,,
Building a Successful Startup Team,People,,,,
Careers in Academia and Industry: Transitions and Challenges,Academia,,,,
Clinical and Translational Science Awards,Academia,,,,
Conducting Insightful Market Research,Ideation,,,,
Department of Defense: SBIR/STTR Grants and Other Contracts,IP/Reg,,,,
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,IP/Reg,,,,
Development of Radiographic Contrast Agents for Diagnostic Imaging,IP/Reg,,,,
Development Strategies for Animal Medical Therapeutics,IP/Reg,,,,
Digital Health: Software as a Medical Device,IP/Reg,,,,
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,IP/Reg,,,,
Equity Allocation in Startups,Finance,,,,
"FDA Device Regulation: 510(k), PMA",IP/Reg,,,,
FDA Drug Regulation: Investigational New Drug Applications,IP/Reg,,,,
Forming and Maintaining Meaningful Partnerships Between Academic Scientists and Corporations,People,,,,
Handling Disruptive Innovation in Clinical and Research Settings,People,,,,
Human-Centered Design: Understanding Customers‰Ûª Needs Through Discovery and Interviewing,Ideation,,,,
I-Corps as a Training Tool for New Technology Development,Ideation,,,,
Identifying Unmet Needs: Problems that Need Solutions,Ideation,,,,
Innate Biases,People,,,,
Intellectual Property Protection for Biologics,IP/Reg,,,,
Intellectual Property: Commercializing in a University Setting,IP/Reg,,,,
Intellectual Property: Ownership and Protection in a University Setting,IP/Reg,,,,
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,Academia,,,,
Laws and Ethics in relation to Medical Entrepreneurship,IP/Reg,,,,
Marketing in an Academic Institution,People,,,,
Negotiation Strategies,People,,,,
Nonprofit and Foundation Sponsored Research: Developing New Models of Collaboration for Research and Development,Finance,,,,
Orphan Drugs: Understanding the FDA Approval Process,IP/Reg,,,,
Overview of Device Development,IP/Reg,,,,
Overview of Drug Development,IP/Reg,,,,
Pediatric Medical Device Development Pathways,IP/Reg,,,,
Preclinical Animal Models,IP/Reg,,,,
Rapid Prototyping Strategies,Ideation,,,,
Reimbursement Strategies and CPT Codes for Device Development,IP/Reg,,,,
Resources at Academic Entrepreneurship Centers,Academia,,,,
SBIR/STTR Grants: Application Guidance,Finance,,,,
SBIR/STTR Grants: Introduction and Overview,Finance,,,,
Seeking Venture Capital Investment,Finance,,,,
Social Entrepreneurship in Healthcare,Ideation,,,,
Startup Company Formation and Management,Finance,,,,
Strategic Planning and Costs of FDA Regulation,Finance,,,,
Surgical Device Development,IP/Reg,,,,
The Promotion Process: Academic Entrepreneurship Career Tracks,Academia,,,,
Understanding Conflict of Interest for Academic Entrepreneurs,IP/Reg,,,,
What is Academic Entrepreneurship?,People,,,,
Working with the University Technology Transfer Office,IP/Reg,,,,
Writing Business Plans for a Life Science Startup or Clinical Program,Finance,,,,
,,,,,
